Spectroscopic Data at 13.069 min.		
Wavelength (nm)	p-Intensity	s-Intensity
787	0.248834	0.637659
788	0.249084	0.638527
789	0.249495	0.638917
790	0.250128	0.63893
791	0.250102	0.638435
792	0.251356	0.639776
793	0.251529	0.639625
794	0.252483	0.640018
795	0.252808	0.640284
796	0.252959	0.640921
797	0.254063	0.642665
798	0.254443	0.643061
799	0.255243	0.643989
800	0.255792	0.645242
801	0.255907	0.645026
802	0.255993	0.64411
803	0.256491	0.644776
804	0.257642	0.645852
805	0.258435	0.647005
806	0.258593	0.646699
807	0.259448	0.647257
808	0.260523	0.649065
809	0.261035	0.650324
810	0.261323	0.65074
811	0.261511	0.650959
812	0.26201	0.650833
813	0.262567	0.650444
814	0.263116	0.650871
815	0.263565	0.651151
816	0.264279	0.651961
817	0.265253	0.65389
818	0.265911	0.655416
819	0.266856	0.656384
820	0.267122	0.656356
821	0.267646	0.65713
822	0.267176	0.655225
823	0.266251	0.652543
824	0.265544	0.650525
825	0.265547	0.649485
826	0.266491	0.650754
827	0.267884	0.652782
828	0.268061	0.653061
829	0.268287	0.653312
830	0.26964	0.655339
831	0.270826	0.657955
832	0.271996	0.659026
833	0.272714	0.659352
834	0.272176	0.658146
835	0.271811	0.656909
836	0.271855	0.656221
837	0.272537	0.657249
838	0.273445	0.658839
839	0.275117	0.661826
840	0.276174	0.663952
841	0.276058	0.662861
842	0.275744	0.662502
843	0.276733	0.66353
844	0.277422	0.664808
845	0.278118	0.665195
846	0.278082	0.664767
847	0.278253	0.664562
848	0.279159	0.665163
849	0.279879	0.665795
850	0.280352	0.666343
851	0.28072	0.667896
852	0.282168	0.670291
853	0.283141	0.6718
854	0.283858	0.672564
855	0.283855	0.672197
856	0.283637	0.670873
857	0.283019	0.671403
858	0.284238	0.672016
859	0.284127	0.670776
860	0.284057	0.67147
861	0.284341	0.67058
862	0.285847	0.673201
863	0.286478	0.673965
864	0.286573	0.674139
865	0.287338	0.674895
866	0.28829	0.67515
867	0.288411	0.675728
868	0.288384	0.67595
869	0.289064	0.675995
870	0.288751	0.674639
871	0.289128	0.673859
872	0.289738	0.674536
873	0.289851	0.675627
874	0.290521	0.676512
875	0.291356	0.67692
876	0.291663	0.677128
877	0.291978	0.677882
878	0.292876	0.678972
879	0.293265	0.679037
880	0.292227	0.676923
881	0.291427	0.674666
882	0.291542	0.675019
883	0.291585	0.674611
884	0.291608	0.673478
885	0.292003	0.673789
886	0.292795	0.674555
887	0.293867	0.676718
888	0.295245	0.678628
889	0.296026	0.680499
890	0.296718	0.681351
891	0.29752	0.682294
892	0.297893	0.682926
893	0.298501	0.682927
894	0.297707	0.681077
895	0.297174	0.679911
896	0.29692	0.679388
897	0.297127	0.679069
898	0.298256	0.680204
899	0.299049	0.682522
900	0.299629	0.683552
901	0.301196	0.685183
902	0.301729	0.686286
903	0.302367	0.686772
904	0.302285	0.685997
905	0.301291	0.684102
906	0.300933	0.682932
907	0.301214	0.683098
908	0.302008	0.684046
909	0.303243	0.686136
910	0.303491	0.686523
911	0.304039	0.686985
912	0.304849	0.688325
913	0.30475	0.68816
914	0.305157	0.6881
915	0.305211	0.687426
916	0.305095	0.68656
917	0.30485	0.68571
918	0.304569	0.68502
919	0.304743	0.685852
920	0.305247	0.686926
921	0.305821	0.686796
922	0.306248	0.687759
923	0.307084	0.688451
924	0.307048	0.688026
925	0.307303	0.689147
926	0.308272	0.690287
927	0.309629	0.691218
928	0.309955	0.691877
929	0.310703	0.693612
930	0.311844	0.695761
931	0.31129	0.695005
932	0.31132	0.694769
933	0.311627	0.694639
934	0.312377	0.694652
935	0.31336	0.695925
936	0.312126	0.694299
937	0.311891	0.693544
938	0.312668	0.693652
939	0.312634	0.693437
940	0.313046	0.693778
941	0.313799	0.695289
942	0.313487	0.695274
943	0.314206	0.696511
944	0.31504	0.696451
945	0.315701	0.697549
946	0.315785	0.697299
947	0.315213	0.696376
948	0.315754	0.696626
949	0.316077	0.696271
950	0.315791	0.695518
951	0.315274	0.694849
952	0.315473	0.694565
953	0.316222	0.694688
954	0.316258	0.695897
955	0.317009	0.696799
956	0.317773	0.698203
957	0.318136	0.698048
958	0.319436	0.700905
959	0.319897	0.701659
960	0.320089	0.700391
961	0.320161	0.700903
962	0.320025	0.701488
963	0.320326	0.701821
964	0.321017	0.703091
965	0.32146	0.702039
966	0.320668	0.700524
967	0.321608	0.701014
968	0.321519	0.701589
969	0.322161	0.702384
970	0.322235	0.702507
971	0.322883	0.70272
972	0.323316	0.703863
