Spectroscopic Data at 13.069 min.	
Wavelength (nm)	Intensity
1888	0.611693
1894	0.613449
1900	0.612117
1906	0.612202
1912	0.612682
1918	0.614784
1924	0.617606
1930	0.619023
1936	0.62016
1942	0.618158
1948	0.619392
1954	0.616675
1960	0.616956
1966	0.617754
1972	0.617331
1978	0.617498
1984	0.619091
1990	0.617659
1996	0.61881
2002	0.617572
2008	0.615794
2014	0.613625
2020	0.611377
2026	0.609229
2032	0.608788
2038	0.610394
2044	0.610157
2050	0.613368
2056	0.614496
2062	0.615838
2068	0.617279
2074	0.618613
2080	0.619109
2086	0.618721
2092	0.617883
2098	0.617646
2104	0.619475
2110	0.621045
2116	0.621828
2122	0.625638
2128	0.628674
2134	0.627572
2140	0.625795
2146	0.625079
2152	0.625286
2158	0.624138
2164	0.621359
2170	0.620842
2176	0.622161
2182	0.621024
2188	0.623857
2194	0.624165
2200	0.625087
2206	0.625215
2212	0.62333
2218	0.622721
2224	0.623337
2230	0.621003
2236	0.618535
2242	0.618426
2248	0.617877
2254	0.617647
2260	0.619489
2266	0.620383
2272	0.622283
2278	0.623345
2284	0.623762
2290	0.625376
2296	0.628359
2302	0.626087
2308	0.622973
2314	0.620703
2320	0.621324
2326	0.621799
2332	0.622336
2338	0.624787
2344	0.626079
2350	0.62963
2356	0.631622
2362	0.634105
2368	0.635624
2374	0.636325
2380	0.634837
2386	0.633419
2392	0.631
2398	0.627033
2404	0.624903
2410	0.622438
2416	0.622671
2422	0.624031
2428	0.627575
2434	0.629996
2440	0.630108
2446	0.630508
2452	0.62781
2458	0.631357
2464	0.626892
2470	0.62784
2476	0.625976
2482	0.62454
2488	0.62451
2494	0.620253
2500	0.62477
