Opt. Const. of SiO2 (Sellmeier) vs. nm		
Wavelength (nm)	e1	e2
962.866028	2.105243	0
964.43573	2.105183	0
966.005371	2.105122	0
967.574829	2.105062	0
969.144165	2.105002	0
970.713196	2.104942	0
972.282227	2.104882	0
973.850952	2.104822	0
975.419617	2.104762	0
976.987976	2.104702	0
978.556335	2.104643	0
980.12439	2.104583	0
981.692383	2.104524	0
983.260132	2.104465	0
984.827759	2.104405	0
986.395203	2.104346	0
987.962524	2.104287	0
989.529602	2.104228	0
991.096497	2.10417	0
992.663208	2.104111	0
994.229797	2.104052	0
995.796204	2.103994	0
997.362427	2.103935	0
998.928406	2.103877	0
1010.953003	2.103432	0
1014.365234	2.103307	0
1017.777344	2.103182	0
1021.18927	2.103057	0
1024.600952	2.102933	0
1028.012573	2.102809	0
1031.424072	2.102685	0
1034.835449	2.102562	0
1038.246582	2.102439	0
1041.657715	2.102316	0
1045.068604	2.102194	0
1048.47937	2.102072	0
1051.890137	2.10195	0
1055.300659	2.101829	0
1058.711182	2.101707	0
1062.12146	2.101587	0
1065.531616	2.101466	0
1068.941772	2.101346	0
1072.351807	2.101225	0
1075.761841	2.101105	0
1079.171631	2.100986	0
1082.581421	2.100867	0
1085.991089	2.100747	0
1089.400635	2.100628	0
1092.810303	2.10051	0
1096.219727	2.100391	0
1099.62915	2.100273	0
1103.03833	2.100155	0
1106.447632	2.100037	0
1109.856934	2.099919	0
1113.266113	2.099801	0
1116.675171	2.099684	0
1120.084229	2.099567	0
1123.493408	2.09945	0
1126.902344	2.099333	0
1130.311279	2.099216	0
1133.720337	2.0991	0
1137.129272	2.098983	0
1140.538208	2.098867	0
1143.947144	2.098751	0
1147.356079	2.098635	0
1150.764893	2.098519	0
1154.173828	2.098403	0
1157.582764	2.098288	0
1160.991577	2.098172	0
1164.400635	2.098057	0
1167.809448	2.097942	0
1171.218506	2.097826	0
1174.627441	2.097711	0
1178.036377	2.097596	0
1181.445435	2.097481	0
1184.854492	2.097367	0
1188.26355	2.097252	0
1191.672729	2.097137	0
1195.081909	2.097023	0
1198.491211	2.096908	0
1201.900513	2.096794	0
1205.309814	2.09668	0
1208.71936	2.096565	0
1212.128784	2.096451	0
1215.53833	2.096337	0
1218.947998	2.096223	0
1222.357666	2.096109	0
1225.767578	2.095995	0
1229.17749	2.095881	0
1232.587402	2.095767	0
1235.997559	2.095653	0
1239.407715	2.09554	0
1242.817993	2.095426	0
1246.228394	2.095312	0
1249.638916	2.095198	0
1253.049561	2.095084	0
1256.460205	2.094971	0
1259.871094	2.094857	0
1263.282104	2.094743	0
1266.693115	2.09463	0
1270.104492	2.094516	0
1273.515869	2.094403	0
1276.92749	2.094289	0
1280.339111	2.094175	0
1283.750977	2.094062	0
1287.162964	2.093948	0
1290.575073	2.093834	0
1293.987427	2.093721	0
1297.399902	2.093607	0
1300.812622	2.093493	0
1304.225342	2.093379	0
1307.638428	2.093266	0
1311.051636	2.093152	0
1314.465088	2.093038	0
1317.878662	2.092925	0
1321.292358	2.092811	0
1324.706299	2.092697	0
1328.120605	2.092583	0
1331.534912	2.092469	0
1334.949585	2.092355	0
1338.36438	2.092241	0
1341.779419	2.092127	0
1345.194702	2.092013	0
1348.610229	2.091899	0
1352.026001	2.091784	0
1355.441895	2.09167	0
1358.858154	2.091556	0
1362.274658	2.091442	0
1365.691284	2.091327	0
1369.108154	2.091213	0
1372.525391	2.091098	0
1375.942871	2.090984	0
1379.360596	2.090869	0
1382.778564	2.090754	0
1386.196899	2.09064	0
1389.615479	2.090525	0
1393.034302	2.09041	0
1396.453369	2.090295	0
1399.872803	2.09018	0
1403.292603	2.090065	0
1406.712524	2.089949	0
1410.132813	2.089834	0
1413.553467	2.089719	0
1416.974365	2.089603	0
1420.39563	2.089488	0
1423.817139	2.089372	0
1427.239014	2.089256	0
1430.661255	2.08914	0
1434.08374	2.089024	0
1437.506592	2.088908	0
1440.92981	2.088792	0
1444.353271	2.088676	0
1447.7771	2.08856	0
1451.201416	2.088443	0
1454.625977	2.088327	0
1458.050903	2.08821	0
1461.476318	2.088094	0
1464.901855	2.087977	0
1468.327881	2.08786	0
1471.754272	2.087743	0
1475.181152	2.087626	0
1478.608276	2.087508	0
1482.035889	2.087391	0
1485.463745	2.087273	0
1488.89209	2.087156	0
1492.320923	2.087038	0
1495.75	2.08692	0
1499.179565	2.086802	0
1502.609497	2.086684	0
1506.039795	2.086566	0
1509.470581	2.086448	0
1512.901855	2.086329	0
1516.333496	2.086211	0
1519.765503	2.086092	0
1523.197998	2.085973	0
1526.630981	2.085854	0
1530.064331	2.085735	0
1533.498169	2.085616	0
1536.932373	2.085497	0
1540.367188	2.085377	0
1543.802368	2.085258	0
1547.238037	2.085138	0
1550.674072	2.085018	0
1554.110718	2.084898	0
1557.547729	2.084778	0
1560.985352	2.084657	0
1564.42334	2.084537	0
1567.861816	2.084416	0
1571.300903	2.084296	0
1574.740356	2.084175	0
1578.18042	2.084054	0
1581.62085	2.083932	0
1585.061768	2.083811	0
1588.503296	2.083689	0
1591.945313	2.083568	0
1595.387939	2.083446	0
1598.830933	2.083324	0
1602.274536	2.083202	0
1605.718628	2.08308	0
1609.16333	2.082957	0
1612.608521	2.082835	0
1616.054321	2.082712	0
1619.50061	2.082589	0
1622.947388	2.082466	0
1626.394775	2.082343	0
1629.842773	2.08222	0
1633.29126	2.082096	0
1636.740356	2.081972	0
1640.190063	2.081848	0
1643.640259	2.081724	0
1647.091064	2.0816	0
1650.542358	2.081476	0
1653.994385	2.081351	0
1657.446899	2.081227	0
1660.900146	2.081102	0
1664.353882	2.080976	0
1667.808228	2.080851	0
1671.263306	2.080726	0
1674.71875	2.080601	0
1678.175049	2.080475	0
