Spectroscopic Data at 13.069 min.		
Wavelength (nm)	<e1>	<e2>
707	-1.53461	7.437829
708	-1.557965	7.451883
709	-1.588363	7.459892
710	-1.596608	7.463032
711	-1.624022	7.502661
712	-1.643444	7.546542
713	-1.644843	7.562218
714	-1.671138	7.5787
715	-1.68979	7.612136
716	-1.698113	7.612648
717	-1.715648	7.636842
718	-1.741368	7.670179
719	-1.761763	7.685791
720	-1.771125	7.705692
721	-1.785915	7.738427
722	-1.807992	7.752459
723	-1.806266	7.784338
724	-1.832542	7.800991
725	-1.855058	7.81405
726	-1.872504	7.838062
727	-1.895257	7.839067
728	-1.905045	7.877063
729	-1.917428	7.903894
730	-1.922095	7.918161
731	-1.94203	7.941467
732	-1.968993	7.962451
733	-1.991931	8.001361
734	-1.994514	8.004627
735	-2.017098	8.018965
736	-2.03905	8.055856
737	-2.042929	8.088307
738	-2.061177	8.078627
739	-2.073698	8.095038
740	-2.108589	8.125405
741	-2.115906	8.170351
742	-2.124288	8.202838
743	-2.128455	8.205039
744	-2.169541	8.243037
745	-2.173455	8.242469
746	-2.184526	8.2786
747	-2.205039	8.315289
748	-2.22495	8.331416
749	-2.240482	8.36217
750	-2.252912	8.37092
751	-2.267775	8.401711
752	-2.278396	8.419554
753	-2.291261	8.437583
754	-2.318551	8.47589
755	-2.352626	8.484023
756	-2.35917	8.491228
757	-2.359318	8.522614
758	-2.384017	8.544937
759	-2.404898	8.578973
760	-2.414274	8.596145
761	-2.407808	8.659145
762	-2.435421	8.648283
763	-2.477215	8.671407
764	-2.489819	8.674448
765	-2.494221	8.716108
766	-2.514949	8.751759
767	-2.509382	8.771367
768	-2.536	8.805389
769	-2.573523	8.812757
770	-2.561268	8.842661
771	-2.582335	8.870965
772	-2.601568	8.90072
773	-2.624466	8.937969
774	-2.645967	8.93228
775	-2.645744	8.974462
776	-2.680556	9.025352
777	-2.667269	9.006114
778	-2.685826	8.996121
779	-2.730731	9.048794
780	-2.735773	9.096437
781	-2.740802	9.091037
782	-2.770126	9.097621
783	-2.775727	9.14982
784	-2.786168	9.163884
785	-2.786167	9.21507
786	-2.811955	9.229292
787	-2.837141	9.276653
788	-2.832688	9.284857
789	-2.844749	9.282451
790	-2.872718	9.313409
791	-2.879568	9.337871
792	-2.91087	9.408525
793	-2.921532	9.414145
794	-2.957758	9.449219
795	-2.96841	9.440469
796	-2.963495	9.446868
797	-2.981409	9.491409
798	-2.990391	9.533031
799	-3.010014	9.554716
800	-3.011021	9.594418
801	-3.020376	9.598176
802	-3.040669	9.626395
803	-3.05005	9.673168
804	-3.083476	9.701912
805	-3.09884	9.71814
806	-3.11131	9.744473
807	-3.142225	9.726552
808	-3.157384	9.774758
809	-3.156316	9.815248
810	-3.162085	9.817869
811	-3.165764	9.8484
812	-3.192473	9.842815
813	-3.225287	9.894582
814	-3.242506	9.926926
815	-3.258231	9.945741
816	-3.276834	9.949914
817	-3.285066	9.986328
818	-3.286067	10.013562
819	-3.31239	10.03196
820	-3.32571	10.038069
821	-3.334184	10.093493
822	-3.348711	10.108595
823	-3.355987	10.142
824	-3.359602	10.204594
825	-3.379972	10.234731
826	-3.400532	10.258081
827	-3.428024	10.279656
828	-3.430563	10.297871
829	-3.435569	10.333009
830	-3.46044	10.371853
831	-3.46526	10.391064
832	-3.501592	10.404119
833	-3.530314	10.426314
834	-3.528274	10.427608
835	-3.534862	10.455091
836	-3.550038	10.503838
837	-3.561344	10.556462
838	-3.574352	10.547919
839	-3.595985	10.560234
840	-3.603534	10.600324
841	-3.619855	10.629384
842	-3.609576	10.68052
843	-3.638293	10.685349
844	-3.645232	10.716253
845	-3.671481	10.755596
846	-3.678147	10.776409
847	-3.69065	10.799456
848	-3.723259	10.841359
849	-3.745398	10.88957
850	-3.758455	10.878356
851	-3.743487	10.879878
852	-3.762506	10.990433
853	-3.780683	10.97733
854	-3.80253	10.942039
855	-3.808255	11.008892
856	-3.824967	11.043048
857	-3.779432	11.07096
858	-3.829956	11.078703
859	-3.849402	11.145402
860	-3.831073	11.117913
861	-3.865072	11.14892
862	-3.88468	11.187621
863	-3.90045	11.202931
864	-3.90046	11.233356
865	-3.922375	11.28134
866	-3.966519	11.311868
867	-3.959143	11.328712
868	-3.950428	11.383043
869	-3.985427	11.403693
870	-3.999668	11.410198
871	-4.036438	11.463955
872	-4.053062	11.487213
873	-4.033753	11.482299
874	-4.047827	11.529063
875	-4.082596	11.566512
876	-4.093912	11.583119
877	-4.092937	11.595908
878	-4.116163	11.604034
879	-4.133897	11.661309
880	-4.125928	11.687869
881	-4.134526	11.716049
882	-4.129045	11.793777
883	-4.140811	11.806968
884	-4.16917	11.822794
885	-4.18218	11.861793
886	-4.206293	11.908332
887	-4.212467	11.939513
888	-4.242501	11.96656
889	-4.240378	11.971437
890	-4.258949	11.9636
891	-4.278216	12.032972
892	-4.2837	12.03441
893	-4.31734	12.056739
894	-4.315942	12.108924
895	-4.313906	12.125023
896	-4.309336	12.191695
897	-4.329122	12.198532
898	-4.365565	12.204187
899	-4.350625	12.247121
900	-4.35612	12.288784
901	-4.403952	12.323954
902	-4.40648	12.329359
903	-4.430717	12.339771
904	-4.444943	12.35944
905	-4.433915	12.39651
906	-4.440474	12.452426
907	-4.450937	12.4892
908	-4.471392	12.525878
909	-4.490132	12.521096
910	-4.493825	12.538632
911	-4.511264	12.598304
912	-4.524929	12.5829
913	-4.522164	12.607801
914	-4.545859	12.650408
915	-4.566139	12.667205
916	-4.579551	12.722055
917	-4.583457	12.801319
918	-4.583721	12.825891
919	-4.570855	12.842912
920	-4.570746	12.873621
921	-4.607253	12.910269
922	-4.606181	12.927247
923	-4.638963	12.91748
924	-4.646558	12.95019
925	-4.629252	12.990181
926	-4.654919	13.035931
927	-4.712603	13.038177
928	-4.712483	13.075286
929	-4.710422	13.07999
930	-4.718426	13.132675
931	-4.70509	13.13383
932	-4.709535	13.200449
933	-4.732275	13.198383
934	-4.77321	13.289315
935	-4.798316	13.298027
936	-4.76618	13.30982
937	-4.773962	13.2899
938	-4.814093	13.383182
939	-4.815887	13.419082
940	-4.82909	13.470389
941	-4.832428	13.489168
942	-4.812483	13.497439
943	-4.821645	13.513626
944	-4.872535	13.574571
945	-4.884933	13.543128
946	-4.890813	13.649311
947	-4.878992	13.677985
948	-4.908053	13.654288
949	-4.935035	13.719008
950	-4.937346	13.738876
951	-4.923369	13.740849
952	-4.944061	13.74987
953	-4.985114	13.811303
954	-4.949902	13.837181
955	-4.969154	13.881319
956	-4.973909	13.930003
957	-5.003576	13.911091
958	-4.999827	13.963874
959	-5.001792	14.04388
960	-5.054045	14.022301
961	-5.043368	14.022557
962	-5.012287	14.086134
963	-5.021775	14.090855
964	-5.024498	14.15257
965	-5.082407	14.19873
966	-5.074891	14.211468
967	-5.120976	14.235475
968	-5.093351	14.289377
969	-5.10692	14.354923
970	-5.112707	14.295149
971	-5.145122	14.355984
972	-5.135212	14.404186
973	-5.166574	14.476953
974	-5.164236	14.479942
975	-5.197075	14.572904
976	-5.188837	14.532042
977	-5.234059	14.534081
978	-5.205014	14.585687
979	-5.226283	14.60512
980	-5.220753	14.632068
981	-5.223512	14.712377
982	-5.218897	14.815735
983	-5.224846	14.861609
984	-5.257446	14.825718
985	-5.262055	14.849684
986	-5.278163	14.849547
987	-5.302224	14.821789
988	-5.278953	14.880103
989	-5.309368	14.931407
990	-5.356885	14.93192
991	-5.321256	14.920459
992	-5.364157	14.94503
993	-5.333458	14.979117
994	-5.33336	15.045077
995	-5.345556	15.108878
996	-5.341985	15.103991
997	-5.348858	15.208807
998	-5.408665	15.220168
999	-5.460289	15.171052
1000	-5.440433	15.143271
1006	-5.448752	15.553864
1012	-5.540754	15.735493
1018	-5.582423	15.914805
1024	-5.642961	16.121239
1030	-5.677942	16.329475
1036	-5.732251	16.533443
1042	-5.778927	16.702616
1048	-5.825069	16.925964
1054	-5.87	17.116079
1060	-5.904957	17.308655
1066	-5.955449	17.481291
1072	-5.982845	17.616814
1078	-5.970917	17.724659
1084	-6.047681	17.987719
1090	-6.048305	18.184486
1096	-6.06876	18.355091
1102	-6.120815	18.515543
1108	-6.145031	18.782499
1114	-6.233965	19.019924
1120	-6.213216	19.198708
1126	-6.260229	19.457888
1132	-6.307228	19.682785
1138	-6.295588	19.904839
1144	-6.344353	20.099283
1150	-6.39011	20.36516
1156	-6.379244	20.583616
1162	-6.426966	20.813387
1168	-6.442832	21.01088
1174	-6.449725	21.169636
1180	-6.452735	21.345509
1186	-6.467369	21.570393
1192	-6.501007	21.801519
1198	-6.460197	21.999178
1204	-6.480891	22.2267
1210	-6.498443	22.41338
1216	-6.486561	22.606987
1222	-6.467607	22.899555
1228	-6.517951	23.061655
1234	-6.507479	23.269743
1240	-6.527401	23.533367
1246	-6.512581	23.759714
1252	-6.490927	23.946205
1258	-6.542231	24.122709
1264	-6.538243	24.369387
1270	-6.545445	24.570288
1276	-6.435237	24.852051
1282	-6.457481	25.087439
1288	-6.465531	25.288649
1294	-6.426428	25.477812
1300	-6.457228	25.646358
1306	-6.445105	25.891506
1312	-6.449009	26.104624
1318	-6.423714	26.271641
1324	-6.443966	26.561302
1330	-6.349222	26.784458
1336	-6.353709	27.011333
1342	-6.310023	27.214993
1348	-6.31462	27.511938
1354	-6.272854	27.675507
1360	-6.248835	27.82028
1366	-6.23869	28.057066
1372	-6.213022	28.299297
1378	-6.16699	28.474566
1384	-6.157683	28.718784
1390	-6.079841	28.968884
1396	-6.072499	29.222111
1402	-6.023619	29.429413
1408	-6.027548	29.653458
1414	-6.02588	29.834044
1420	-5.969854	30.056377
1426	-5.938151	30.271206
1432	-5.881931	30.41382
1438	-5.797171	30.60644
1444	-5.768937	30.859016
1450	-5.696174	31.100462
1456	-5.628969	31.380009
1462	-5.706791	31.519939
1468	-5.642475	31.788546
1474	-5.548521	31.926054
1480	-5.540721	32.076572
1486	-5.464537	32.301437
1492	-5.398264	32.54277
1498	-5.337323	32.790005
1504	-5.275198	33.019135
1510	-5.213454	33.216892
1516	-5.168309	33.398884
1522	-5.116623	33.632889
1528	-5.030564	33.947853
1534	-5.004138	34.186203
1540	-4.986357	34.229465
1546	-4.886272	34.446918
1552	-4.828278	34.679672
1558	-4.732713	34.832233
1564	-4.675688	35.031174
1570	-4.613521	35.286148
1576	-4.522821	35.520763
1582	-4.436281	35.682587
1588	-4.382049	35.837154
1594	-4.365644	36.147991
1600	-4.368911	36.351215
1606	-4.271809	36.539921
