Spectroscopic Data at 13.069 min.		
Wavelength (nm)	Psi	Delta
908	33.602306	140.912567
909	33.615932	140.903458
910	33.619274	140.931152
911	33.634209	141.024597
912	33.643642	140.99913
913	33.642509	141.038773
914	33.661285	141.104141
915	33.676586	141.128983
916	33.688217	141.213806
917	33.693951	141.336731
918	33.695084	141.374725
919	33.686584	141.402115
920	33.687756	141.449463
921	33.715115	141.502533
922	33.715038	141.52861
923	33.737801	141.510895
924	33.744404	141.560181
925	33.733829	141.622498
926	33.753647	141.689545
927	33.793953	141.68811
928	33.795258	141.743942
929	33.794006	141.751175
930	33.801586	141.829391
931	33.792423	141.83226
932	33.79821	141.931091
933	33.813728	141.92601
934	33.845337	142.056686
935	33.862728	142.067322
936	33.8414	142.087402
937	33.845871	142.05748
938	33.876766	142.190308
939	33.879436	142.242264
940	33.8904	142.315247
941	33.893414	142.341995
942	33.880482	142.355743
943	33.887283	142.378159
944	33.923607	142.460693
945	33.930508	142.414703
946	33.938805	142.565201
947	33.932312	142.606857
948	33.950314	142.570663
949	33.97065	142.659409
950	33.972992	142.687073
951	33.963997	142.691132
952	33.977818	142.701859
953	34.006943	142.783844
954	33.985371	142.823059
955	33.999687	142.882385
956	34.004902	142.949081
957	34.023006	142.920227
958	34.022926	142.993103
959	34.027802	143.102203
960	34.059834	143.06781
961	34.053101	143.069153
962	34.036377	143.158554
963	34.042561	143.164001
964	34.047161	143.247101
965	34.0854	143.303299
966	34.081314	143.321091
967	34.11097	143.348663
968	34.096363	143.423096
969	34.107803	143.508499
970	34.108559	143.428818
971	34.131252	143.506058
972	34.127438	143.570465
973	34.149933	143.662476
974	34.148659	143.666611
975	34.172874	143.783859
976	34.165981	143.731827
977	34.193298	143.72998
978	34.178246	143.799545
979	34.191898	143.822418
980	34.189869	143.85762
981	34.195404	143.960098
982	34.197887	144.091843
983	34.203754	144.149063
984	34.221031	144.10025
985	34.22493	144.129959
986	34.234352	144.128067
987	34.247101	144.090607
988	34.236328	144.166382
989	34.256584	144.227356
990	34.284191	144.223068
991	34.262955	144.212433
992	34.289024	144.238663
993	34.272896	144.284225
994	34.276123	144.365967
995	34.286354	144.443253
996	34.284061	144.437637
997	34.293419	144.565155
