All Layer Optical Constants
Wavelength (nm)	e1, TIN 3 (Lorentz)	e2, TIN 3 (Lorentz)
900.379395	-1.425043	7.824524
901.937683	-1.432912	7.846071
903.495972	-1.440762	7.867630
905.054016	-1.448593	7.889198
906.612000	-1.456405	7.910778
908.169800	-1.464198	7.932366
909.727539	-1.471973	7.953967
911.285034	-1.479729	7.975576
912.842468	-1.487466	7.997196
914.399780	-1.495184	8.018826
915.956909	-1.502884	8.040465
917.513977	-1.510566	8.062115
919.070801	-1.518228	8.083774
920.627563	-1.525872	8.105442
922.184204	-1.533498	8.127121
923.740601	-1.541106	8.148808
925.296997	-1.548695	8.170505
926.853210	-1.556266	8.192212
928.409302	-1.563818	8.213927
929.965210	-1.571352	8.235652
931.520996	-1.578868	8.257385
933.076660	-1.586366	8.279128
934.632202	-1.593846	8.300879
936.187622	-1.601308	8.322639
937.742859	-1.608751	8.344409
939.297974	-1.616177	8.366186
940.852905	-1.623585	8.387972
942.407837	-1.630975	8.409767
943.962524	-1.638347	8.431570
945.517090	-1.645701	8.453382
947.071472	-1.653037	8.475200
948.625793	-1.660356	8.497027
950.179871	-1.667657	8.518863
951.733887	-1.674940	8.540706
953.287781	-1.682206	8.562557
954.841492	-1.689454	8.584416
956.395020	-1.696684	8.606282
957.948547	-1.703897	8.628158
959.501770	-1.711092	8.650039
961.054993	-1.718271	8.671929
962.607910	-1.725431	8.693825
964.160828	-1.732575	8.715730
965.713562	-1.739701	8.737641
967.266113	-1.746810	8.759559
968.818542	-1.753901	8.781485
970.370911	-1.760976	8.803418
971.923035	-1.768033	8.825358
973.474976	-1.775073	8.847303
975.026855	-1.782097	8.869257
976.578613	-1.789103	8.891218
978.130188	-1.796092	8.913184
979.681641	-1.803065	8.935159
981.232910	-1.810020	8.957138
982.783997	-1.816958	8.979124
984.334961	-1.823880	9.001117
985.885864	-1.830785	9.023116
987.436523	-1.837673	9.045122
988.987122	-1.844545	9.067134
990.537476	-1.851400	9.089151
992.087769	-1.858238	9.111176
993.637878	-1.865060	9.133205
995.187805	-1.871865	9.155241
996.737610	-1.878653	9.177282
998.287292	-1.885426	9.199330
1010.887024	-1.939906	9.378876
1014.252563	-1.954285	9.426919
1017.618774	-1.968594	9.475005
1020.985535	-1.982833	9.523134
1024.352905	-1.997002	9.571304
1027.720947	-2.011103	9.619515
1031.089478	-2.025135	9.667768
1034.458740	-2.039098	9.716061
1037.828491	-2.052994	9.764393
1041.198975	-2.066822	9.812766
1044.570068	-2.080582	9.861176
1047.941650	-2.094275	9.909626
1051.313965	-2.107902	9.958113
1054.686768	-2.121462	10.006637
1058.060303	-2.134956	10.055199
1061.434448	-2.148384	10.103797
1064.809204	-2.161747	10.152431
1068.184448	-2.175044	10.201098
1071.560425	-2.188277	10.249804
1074.937012	-2.201445	10.298543
1078.314209	-2.214549	10.347316
1081.691895	-2.227589	10.396122
1085.070313	-2.240566	10.444963
1088.449341	-2.253479	10.493835
1091.828857	-2.266330	10.542741
1095.209106	-2.279117	10.591678
1098.589966	-2.291842	10.640647
1101.971436	-2.304506	10.689647
1105.353394	-2.317107	10.738678
1108.736084	-2.329648	10.787741
1112.119385	-2.342127	10.836833
1115.503296	-2.354545	10.885954
1118.887817	-2.366903	10.935104
1122.272827	-2.379200	10.984283
1125.658569	-2.391438	11.033492
1129.044922	-2.403616	11.082728
1132.431885	-2.415735	11.131993
1135.819458	-2.427795	11.181284
1139.207642	-2.439796	11.230603
1142.596436	-2.451739	11.279949
1145.985840	-2.463624	11.329322
1149.375854	-2.475451	11.378720
1152.766479	-2.487221	11.428144
1156.157715	-2.498933	11.477594
1159.549561	-2.510588	11.527068
