wavelength_nm,transmittance
775.15,0.02467
775.48,0.02523
775.81,0.02603
776.14,0.02618
776.47,0.0276
776.8,0.02587
777.13,0.02747
777.45,0.02885
777.78,0.02655
778.11,0.02689
778.44,0.02668
778.77,0.02765
779.1,0.02494
779.43,0.02676
779.76,0.02912
780.08,0.02721
780.41,0.02643
780.74,0.02727
781.07,0.02641
781.4,0.02562
781.73,0.02604
782.05,0.02777
782.38,0.02828
782.71,0.02686
783.04,0.02778
783.37,0.0259
783.69,0.02707
784.02,0.02758
784.35,0.02803
784.68,0.02897
785.01,0.02845
785.33,0.0283
785.66,0.02865
785.99,0.02681
786.32,0.02788
786.64,0.02897
786.97,0.02896
787.3,0.02881
787.63,0.0281
787.95,0.02749
788.28,0.02935
788.61,0.0284
788.94,0.02695
789.26,0.02783
789.59,0.02847
789.92,0.02939
790.24,0.02809
790.57,0.02957
790.9,0.02875
791.23,0.02753
791.55,0.02917
791.88,0.02833
792.21,0.02923
792.53,0.02807
792.86,0.02924
793.19,0.03017
793.51,0.02964
793.84,0.02975
794.17,0.02763
794.49,0.02919
794.82,0.03135
795.14,0.02855
795.47,0.0303
795.8,0.02948
796.12,0.0311
796.45,0.02977
796.77,0.03044
797.1,0.03147
797.43,0.03032
797.75,0.02859
798.08,0.02799
798.4,0.03115
798.73,0.03082
799.06,0.0295
799.38,0.03149
799.71,0.03028
800.03,0.03154
800.36,0.031
800.68,0.032
801.01,0.02829
801.33,0.02855
801.66,0.03177
801.98,0.02923
802.31,0.03053
802.64,0.02797
802.96,0.03103
803.29,0.03043
803.61,0.02841
803.94,0.02684
804.26,0.02979
804.58,0.02801
804.91,0.02914
805.23,0.03131
805.56,0.02834
805.88,0.03011
806.21,0.02885
806.53,0.02946
806.86,0.02948
807.18,0.02922
807.51,0.02837
807.83,0.03054
808.15,0.02831
808.48,0.02944
808.8,0.02833
809.13,0.02902
809.45,0.03006
809.78,0.02972
810.1,0.02802
810.42,0.02768
810.75,0.02707
811.07,0.02978
811.39,0.02765
811.72,0.03016
812.04,0.02926
812.37,0.02861
812.69,0.02841
813.01,0.02735
813.34,0.02736
813.66,0.02704
813.98,0.02701
814.31,0.02905
814.63,0.02654
814.95,0.02728
815.28,0.02818
815.6,0.02751
815.92,0.02841
816.25,0.02967
816.57,0.02733
816.89,0.02885
817.21,0.02794
817.54,0.02666
817.86,0.02819
818.18,0.02744
818.51,0.02655
818.83,0.02844
819.15,0.02761
819.47,0.02808
819.8,0.02765
820.12,0.02609
820.44,0.02996
820.76,0.02735
821.08,0.02835
821.41,0.02909
821.73,0.02815
822.05,0.02925
822.37,0.02619
822.7,0.02884
823.02,0.02767
823.34,0.02748
823.66,0.02707
823.98,0.02869
824.3,0.02669
824.63,0.02636
824.95,0.02827
825.27,0.02844
825.59,0.02922
825.91,0.02734
826.23,0.02779
826.56,0.02697
826.88,0.02855
827.2,0.02931
827.52,0.02561
827.84,0.02849
828.16,0.03005
828.48,0.02832
828.8,0.02864
829.13,0.0292
829.45,0.03022
829.77,0.02923
830.09,0.02896
830.41,0.02968
830.73,0.03003
831.05,0.02865
831.37,0.02728
831.69,0.02842
832.01,0.02935
832.33,0.03044
832.65,0.02988
832.97,0.03018
833.29,0.0316
833.61,0.03031
833.93,0.02856
834.25,0.02894
834.57,0.02806
834.89,0.03135
835.21,0.02962
835.53,0.02918
835.85,0.02954
836.17,0.03096
836.49,0.02779
836.81,0.03256
837.13,0.02848
837.45,0.02871
837.77,0.02837
838.09,0.0285
838.41,0.03106
838.73,0.03056
839.05,0.03013
839.37,0.03022
839.69,0.02949
840.01,0.03093
840.33,0.03168
840.65,0.03138
840.97,0.02844
841.29,0.03023
841.61,0.02982
841.92,0.03016
842.24,0.03207
842.56,0.03208
842.88,0.02981
843.2,0.0314
843.52,0.03114
843.84,0.03212
844.16,0.03145
844.47,0.03207
844.79,0.03281
845.11,0.03404
845.43,0.03106
845.75,0.03291
846.07,0.03098
846.38,0.03172
846.7,0.03375
847.02,0.03296
847.34,0.02947
847.66,0.03087
847.97,0.03315
848.29,0.03456
848.61,0.03254
848.93,0.0344
849.25,0.0334
849.56,0.03312
849.88,0.03366
850.2,0.03203
850.52,0.03349
850.83,0.03272
851.15,0.03336
851.47,0.03318
851.79,0.03045
852.1,0.03275
852.42,0.03481
852.74,0.03285
853.06,0.03423
853.37,0.03591
853.69,0.03505
854.01,0.03389
854.32,0.03371
854.64,0.03374
854.96,0.03406
855.27,0.03353
855.59,0.03599
855.91,0.03411
856.23,0.03291
856.54,0.03545
856.86,0.03475
857.17,0.0326
857.49,0.03493
857.81,0.03453
858.12,0.03702
858.44,0.0368
858.76,0.03453
859.07,0.03637
859.39,0.03831
859.71,0.03522
860.02,0.03444
860.34,0.03835
860.65,0.0355
860.97,0.03901
861.28,0.03849
861.6,0.03942
861.92,0.03695
862.23,0.03393
862.55,0.03417
862.86,0.0352
863.18,0.03289
863.49,0.03621
863.81,0.03474
864.13,0.03532
864.44,0.03693
864.76,0.03412
865.07,0.03579
865.39,0.03912
865.7,0.03692
866.02,0.03702
866.33,0.03823
866.65,0.0385
866.96,0.03743
867.28,0.03553
867.59,0.03828
867.91,0.03694
868.22,0.04006
868.54,0.03878
868.85,0.03775
869.16,0.03813
869.48,0.03953
869.79,0.03828
870.11,0.03845
870.42,0.03759
870.74,0.03946
871.05,0.03718
871.37,0.03872
871.68,0.03893
871.99,0.04236
872.31,0.03691
872.62,0.04075
872.94,0.03738
873.25,0.03871
873.56,0.0371
873.88,0.03673
874.19,0.04193
874.5,0.03778
874.82,0.03607
875.13,0.03714
875.45,0.03681
875.76,0.03729
876.07,0.03943
876.39,0.03914
876.7,0.03913
877.01,0.03723
877.33,0.04191
877.64,0.0374
877.95,0.03785
878.26,0.03864
878.58,0.04021
878.89,0.0405
879.2,0.03792
879.52,0.03616
879.83,0.03485
880.14,0.03923
880.45,0.03671
880.77,0.03897
881.08,0.0359
881.39,0.03947
881.7,0.03421
882.02,0.03721
882.33,0.03871
882.64,0.03961
882.95,0.03982
883.27,0.03922
