wavelength_nm,reflectance
560.72,0.2363
561.08,0.23947
561.44,0.24077
561.8,0.23818
562.16,0.23744
562.51,0.24057
562.87,0.23443
563.23,0.23931
563.59,0.23867
563.94,0.23539
564.3,0.24427
564.66,0.2379
565.02,0.23997
565.37,0.23948
565.73,0.24171
566.09,0.23716
566.44,0.24544
566.8,0.24445
567.16,0.24219
567.52,0.24215
567.87,0.2442
568.23,0.23885
568.59,0.23961
568.94,0.24293
569.3,0.24266
569.66,0.24341
570.01,0.24295
570.37,0.24196
570.73,0.24403
571.08,0.24387
571.44,0.24097
571.8,0.24125
572.15,0.24524
572.51,0.24531
572.87,0.24171
573.22,0.24605
573.58,0.24368
573.94,0.24305
574.29,0.24643
574.65,0.24532
575,0.24316
575.36,0.24316
575.72,0.24315
576.07,0.24619
576.43,0.24546
576.78,0.24398
577.14,0.23962
577.5,0.24136
577.85,0.2448
578.21,0.24403
578.56,0.24729
578.92,0.24317
579.28,0.24901
579.63,0.24297
579.99,0.24675
580.34,0.24817
580.7,0.24778
581.05,0.25449
581.41,0.25054
581.76,0.24755
582.12,0.24667
582.47,0.24744
582.83,0.25565
583.18,0.24773
583.54,0.24679
583.89,0.2497
584.25,0.2522
584.6,0.25083
584.96,0.25709
585.31,0.25161
585.67,0.25237
586.02,0.25591
586.38,0.25063
586.73,0.25774
587.09,0.25253
587.44,0.25454
587.8,0.25701
588.15,0.25759
588.51,0.25774
588.86,0.26111
589.22,0.26084
589.57,0.26155
589.93,0.26019
590.28,0.26016
590.63,0.26257
590.99,0.26089
591.34,0.26162
591.7,0.26469
592.05,0.27003
592.4,0.26465
592.76,0.26883
593.11,0.27002
593.47,0.27234
593.82,0.27217
594.17,0.27315
594.53,0.27154
594.88,0.27348
595.24,0.27511
595.59,0.27652
595.94,0.27434
596.3,0.27861
596.65,0.27636
597,0.28109
597.36,0.276
597.71,0.28064
598.06,0.27525
598.42,0.2797
598.77,0.2796
599.12,0.28617
599.48,0.27761
599.83,0.28516
600.18,0.28116
600.54,0.28102
600.89,0.29032
601.24,0.28775
601.6,0.28654
601.95,0.29229
602.3,0.29089
602.65,0.28826
603.01,0.29069
603.36,0.29108
603.71,0.28962
604.07,0.28652
604.42,0.29319
604.77,0.2927
605.12,0.2946
605.48,0.29086
605.83,0.28956
606.18,0.29007
606.53,0.28601
606.88,0.28744
607.24,0.29563
607.59,0.29604
607.94,0.29298
608.29,0.29389
608.65,0.29295
609,0.295
609.35,0.29534
609.7,0.2926
610.05,0.29605
610.41,0.29479
610.76,0.29163
611.11,0.29474
611.46,0.29069
611.81,0.29888
612.16,0.29144
612.52,0.29664
612.87,0.29429
613.22,0.29672
613.57,0.2987
613.92,0.29323
614.27,0.29435
614.62,0.29508
614.98,0.29348
615.33,0.29492
615.68,0.29493
616.03,0.29458
616.38,0.29191
616.73,0.28768
617.08,0.29431
617.43,0.29537
617.78,0.29181
618.14,0.29342
618.49,0.29375
618.84,0.29541
619.19,0.29582
619.54,0.29169
619.89,0.29583
620.24,0.29376
620.59,0.28811
620.94,0.29019
621.29,0.29282
621.64,0.29214
621.99,0.29501
622.34,0.29161
622.69,0.29123
623.04,0.28821
623.39,0.29228
623.74,0.28799
624.09,0.294
624.44,0.28883
624.79,0.28603
625.14,0.28792
625.49,0.28883
625.84,0.28857
626.19,0.28445
626.54,0.28729
626.89,0.28828
627.24,0.28427
627.59,0.28625
627.94,0.28805
628.29,0.29216
628.64,0.28821
628.99,0.29135
629.34,0.2894
629.69,0.2876
630.04,0.29048
630.39,0.28842
630.74,0.29153
631.09,0.28571
631.44,0.28766
631.79,0.2897
632.14,0.29184
632.49,0.28784
632.83,0.28896
633.18,0.29336
633.53,0.29318
633.88,0.28882
634.23,0.28933
634.58,0.28873
634.93,0.28896
635.28,0.28802
635.63,0.28745
635.97,0.29224
636.32,0.29228
636.67,0.29378
637.02,0.28741
637.37,0.2947
637.72,0.29291
638.07,0.2909
638.41,0.2965
638.76,0.29078
639.11,0.29736
639.46,0.29586
639.81,0.2952
640.15,0.29625
640.5,0.29544
640.85,0.29913
641.2,0.30336
641.55,0.29665
641.89,0.29555
642.24,0.303
642.59,0.30518
642.94,0.29974
643.29,0.30374
643.63,0.30658
643.98,0.3005
644.33,0.30317
644.68,0.29913
645.02,0.29787
645.37,0.30096
645.72,0.30483
