wavelength_nm,epsilon_real,epsilon_imag
1400.0,-0.18001064,0.574449867
1410.0,-0.231055361,0.586472623
1420.0,-0.282413539,0.598661572
1430.0,-0.334084783,0.611017669
1440.0,-0.386068688,0.62354187
1450.0,-0.438364834,0.636235124
1460.0,-0.490972784,0.649098381
1470.0,-0.543892088,0.662132584
1480.0,-0.597122282,0.675338676
1490.0,-0.65066289,0.688717594
1500.0,-0.704513421,0.702270273
1510.0,-0.758673373,0.715997644
1520.0,-0.813142232,0.729900636
1530.0,-0.867919471,0.743980174
1540.0,-0.923004554,0.758237177
1550.0,-0.978396931,0.772672565
1560.0,-1.03409604,0.78728725
1570.0,-1.09010132,0.802082143
1580.0,-1.14641219,0.817058152
1590.0,-1.20302806,0.832216178
1600.0,-1.25994832,0.847557121
1610.0,-1.31717238,0.863081878
1620.0,-1.37469962,0.878791339
1630.0,-1.4325294,0.894686394
1640.0,-1.49066111,0.910767926
1650.0,-1.54909408,0.927036816
1660.0,-1.60782769,0.94349394
1670.0,-1.66686126,0.960140172
1680.0,-1.72619414,0.976976381
1690.0,-1.78582564,0.99400343
1700.0,-1.8457551,1.01122218
1710.0,-1.90598182,1.02863349
1720.0,-1.96650511,1.04623822
1730.0,-2.02732427,1.0640372
1740.0,-2.08843859,1.08203129
1750.0,-2.14984737,1.10022133
1760.0,-2.21154987,1.11860815
1770.0,-2.27354538,1.13719259
1780.0,-2.33583316,1.15597547
1790.0,-2.39841248,1.17495763
1800.0,-2.46128259,1.19413987
1810.0,-2.52444274,1.21352302
1820.0,-2.58789218,1.23310789
1830.0,-2.65163016,1.25289528
1840.0,-2.71565589,1.27288601
1850.0,-2.77996863,1.29308086
1860.0,-2.84456759,1.31348064
1870.0,-2.90945198,1.33408614
1880.0,-2.97462104,1.35489813
1890.0,-3.04007396,1.37591742
1900.0,-3.10580996,1.39714476
1910.0,-3.17182823,1.41858094
1920.0,-3.23812798,1.44022672
1930.0,-3.30470839,1.46208288
1940.0,-3.37156866,1.48415017
1950.0,-3.43870797,1.50642934
1960.0,-3.5061255,1.52892116
1970.0,-3.57382042,1.55162636
1980.0,-3.64179192,1.57454569
1990.0,-3.71003915,1.5976799
2000.0,-3.77856128,1.6210297
