wavelength_nm,epsilon_real,epsilon_imag
1620.0,-62.1837327,22.5439334
1630.0,-62.9717672,22.8821875
1640.0,-63.7634553,23.2238487
1650.0,-64.5587784,23.5689291
1660.0,-65.3577177,23.9174408
1670.0,-66.1602544,24.2693956
1680.0,-66.9663696,24.6248055
1690.0,-67.7760445,24.9836819
1700.0,-68.5892601,25.3460365
1710.0,-69.4059973,25.7118807
1720.0,-70.2262373,26.0812258
1730.0,-71.0499608,26.4540829
1740.0,-71.8771487,26.8304631
1750.0,-72.7077818,27.2103772
1760.0,-73.5418409,27.5938361
1770.0,-74.3793068,27.9808505
1780.0,-75.2201601,28.3714308
1790.0,-76.0643814,28.7655874
1800.0,-76.9119515,29.1633307
1810.0,-77.7628509,29.5646708
1820.0,-78.6170601,29.9696177
1830.0,-79.4745597,30.3781814
1840.0,-80.3353301,30.7903714
1850.0,-81.1993518,31.2061977
1860.0,-82.0666052,31.6256695
1870.0,-82.9370707,32.0487964
1880.0,-83.8107287,32.4755876
1890.0,-84.6875594,32.9060522
1900.0,-85.5675434,33.3401993
1910.0,-86.4506607,33.7780377
1920.0,-87.3368917,34.2195761
1930.0,-88.2262167,34.6648232
1940.0,-89.1186158,35.1137876
1950.0,-90.0140692,35.5664775
1960.0,-90.9125573,36.0229012
1970.0,-91.81406,36.4830669
1980.0,-92.7185576,36.9469825
1990.0,-93.6260303,37.4146559
2000.0,-94.5364581,37.8860949
2010.0,-95.4498211,38.361307
2020.0,-96.3660995,38.8402998
2030.0,-97.2852733,39.3230806
2040.0,-98.2073227,39.8096566
2050.0,-99.1322276,40.300035
2060.0,-100.059968,40.7942228
2070.0,-100.990525,41.2922268
2080.0,-101.923877,41.7940537
2090.0,-102.860004,42.2997102
2100.0,-103.798888,42.8092028
