wavelength_nm,frequency_thz,theta_air_raw_deg,theta_prism_deg,observed_r0_reflectance_fraction,package_static_prediction_fraction,residual_prediction_minus_observed,absolute_residual,power_norm_std,prepump_rows,delay_min_ps,delay_max_ps,in_figure2_plotted_window
1180,254.061405085,40,41.6690197955,0.0109142399357,0.0272921627764,0.0163779228406,0.0163779228406,0.000780449343527,11,-0.6,-0.4,false
1180,254.061405085,41,42.3345376402,0.00735459473323,0.0236799231534,0.0163253284201,0.0163253284201,0.00122149207299,11,-0.6,-0.4,false
1180,254.061405085,42,43.0005079045,0.00563257361901,0.0188466344798,0.0132140608608,0.0132140608608,0.00124046662732,11,-0.6,-0.4,true
1180,254.061405085,43,43.6668171225,0.00817562474405,0.0120912274452,0.00391560270116,0.00391560270116,0.00139428870478,11,-0.6,-0.4,true
1180,254.061405085,44,44.3333521377,0.0339759644762,0.00143397216578,-0.0325419923104,0.0325419923104,0.00141638361368,11,-0.6,-0.4,true
1180,254.061405085,45,45,0.0500007716487,0.0263770955148,-0.0236236761338,0.0236236761338,0.00107990467624,11,-0.6,-0.4,true
1180,254.061405085,46,45.6666478623,0.066415496682,0.0505892358746,-0.0158262608074,0.0158262608074,0.00131555961642,11,-0.6,-0.4,true
1180,254.061405085,47,46.3331828775,0.0839968440782,0.0738223492317,-0.0101744948465,0.0101744948465,0.00134770453415,11,-0.6,-0.4,true
1180,254.061405085,48,46.9994920955,0.100622695288,0.0962386636882,-0.00438403160006,0.00438403160006,0.00116658698536,11,-0.6,-0.4,true
1180,254.061405085,49,47.6654623598,0.114081652774,0.117900590151,0.00381893737686,0.00381893737686,0.00183907222826,11,-0.6,-0.4,true
1180,254.061405085,50,48.3309802045,0.128734352832,0.138851786222,0.0101174333894,0.0101174333894,0.00100132776292,11,-0.6,-0.4,true
1180,254.061405085,51,48.9959317502,0.142871509479,0.159131137486,0.016259628007,0.016259628007,0.0015736919299,11,-0.6,-0.4,true
1180,254.061405085,52,49.6602026014,0.157113530198,0.178775742546,0.0216622123482,0.0216622123482,0.00224450954534,11,-0.6,-0.4,true
1180,254.061405085,53,50.3236777414,0.169662281394,0.197821417643,0.0281591362491,0.0281591362491,0.00102886370203,11,-0.6,-0.4,true
1180,254.061405085,54,50.9862414289,0.179341684888,0.216302617045,0.0369609321568,0.0369609321568,0.00133082280595,11,-0.6,-0.4,false
1180,254.061405085,55,51.6477770928,0.191003126788,0.234252262387,0.043249135599,0.043249135599,0.00189600589331,11,-0.6,-0.4,false
1180,254.061405085,56,52.3081672277,0.203365049839,0.251701608693,0.0483365588544,0.0483365588544,0.00196887476988,11,-0.6,-0.4,false
1180,254.061405085,57,52.9672932881,0.219087084791,0.268680170245,0.0495930854541,0.0495930854541,0.00213242069393,11,-0.6,-0.4,false
1180,254.061405085,58,53.6250355825,0.222111221968,0.285215699906,0.0631044779381,0.0631044779381,0.002421087783,11,-0.6,-0.4,false
1180,254.061405085,59,54.2812731675,0.230996026699,0.301334209113,0.0703381824141,0.0703381824141,0.00138003466163,11,-0.6,-0.4,false
1180,254.061405085,60,54.9358837405,0.232637007561,0.317060016282,0.0844230087206,0.0844230087206,0.00166876766294,11,-0.6,-0.4,false
1190,251.926435294,35,38.3522229072,0.0238834896973,0.044524707088,0.0206412173908,0.0206412173908,0.000866100005819,11,-0.6,-0.4,false
1190,251.926435294,36,39.0137585711,0.0219109198106,0.0437423981195,0.0218314783089,0.0218314783089,0.000781003158537,11,-0.6,-0.4,false
1190,251.926435294,37,39.6763222586,0.0202377469256,0.042633606378,0.0223958594524,0.0223958594524,0.00120728175479,11,-0.6,-0.4,false
