Wavelength,TiN real part of permittivity,Wavelength,AZO real part of permittivity,Wavelength,TiN imaginary part of permittivity,Wavelength,AZO imaginary part of permittivity
nm,,nm,,nm,,nm,
Film thickness 130 nm,,Film thickness 250 nm,,,,,
1460,-50.0870823,1460,-0.490972784,1460,17.5848285,1460,0.649098381
1470,-50.814169,1470,-0.543892088,1470,17.8703234,1470,0.662132584
1480,-51.5451994,1480,-0.597122282,1480,18.1590142,1480,0.675338676
1490,-52.280156,1490,-0.65066289,1490,18.450915,1490,0.688717594
1500,-53.019021,1500,-0.704513421,1500,18.7460398,1500,0.702270273
1510,-53.7617768,1510,-0.758673373,1510,19.0444025,1510,0.715997644
1520,-54.5084056,1520,-0.813142232,1520,19.3460168,1520,0.729900636
1530,-55.2588894,1530,-0.867919471,1530,19.6508962,1530,0.743980174
1540,-56.0132103,1540,-0.923004554,1540,19.9590544,1540,0.758237177
1550,-56.7713502,1550,-0.978396931,1550,20.2705046,1550,0.772672565
1560,-57.533291,1560,-1.03409604,1560,20.5852602,1560,0.78728725
1570,-58.2990146,1570,-1.09010132,1570,20.9033343,1570,0.802082143
1580,-59.0685027,1580,-1.14641219,1580,21.2247399,1580,0.817058152
1590,-59.841737,1590,-1.20302806,1590,21.5494899,1590,0.832216178
1600,-60.618699,1600,-1.25994832,1600,21.877597,1600,0.847557121
1610,-61.3993704,1610,-1.31717238,1610,22.209074,1610,0.863081878
1620,-62.1837327,1620,-1.37469962,1620,22.5439334,1620,0.878791339
1630,-62.9717672,1630,-1.4325294,1630,22.8821875,1630,0.894686394
1640,-63.7634553,1640,-1.49066111,1640,23.2238487,1640,0.910767926
1650,-64.5587784,1650,-1.54909408,1650,23.5689291,1650,0.927036816
1660,-65.3577177,1660,-1.60782769,1660,23.9174408,1660,0.94349394
1670,-66.1602544,1670,-1.66686126,1670,24.2693956,1670,0.960140172
1680,-66.9663696,1680,-1.72619414,1680,24.6248055,1680,0.976976381
1690,-67.7760445,1690,-1.78582564,1690,24.9836819,1690,0.99400343
1700,-68.5892601,1700,-1.8457551,1700,25.3460365,1700,1.01122218
1710,-69.4059973,1710,-1.90598182,1710,25.7118807,1710,1.02863349
1720,-70.2262373,1720,-1.96650511,1720,26.0812258,1720,1.04623822
1730,-71.0499608,1730,-2.02732427,1730,26.4540829,1730,1.0640372
1740,-71.8771487,1740,-2.08843859,1740,26.8304631,1740,1.08203129
1750,-72.7077818,1750,-2.14984737,1750,27.2103772,1750,1.10022133
1760,-73.5418409,1760,-2.21154987,1760,27.5938361,1760,1.11860815
1770,-74.3793068,1770,-2.27354538,1770,27.9808505,1770,1.13719259
1780,-75.2201601,1780,-2.33583316,1780,28.3714308,1780,1.15597547
1790,-76.0643814,1790,-2.39841248,1790,28.7655874,1790,1.17495763
1800,-76.9119515,1800,-2.46128259,1800,29.1633307,1800,1.19413987
1810,-77.7628509,1810,-2.52444274,1810,29.5646708,1810,1.21352302
1820,-78.6170601,1820,-2.58789218,1820,29.9696177,1820,1.23310789
1830,-79.4745597,1830,-2.65163016,1830,30.3781814,1830,1.25289528
1840,-80.3353301,1840,-2.71565589,1840,30.7903714,1840,1.27288601
1850,-81.1993518,1850,-2.77996863,1850,31.2061977,1850,1.29308086
1860,-82.0666052,1860,-2.84456759,1860,31.6256695,1860,1.31348064
1870,-82.9370707,1870,-2.90945198,1870,32.0487964,1870,1.33408614
1880,-83.8107287,1880,-2.97462104,1880,32.4755876,1880,1.35489813
1890,-84.6875594,1890,-3.04007396,1890,32.9060522,1890,1.37591742
1900,-85.5675434,1900,-3.10580996,1900,33.3401993,1900,1.39714476
1910,-86.4506607,1910,-3.17182823,1910,33.7780377,1910,1.41858094
1920,-87.3368917,1920,-3.23812798,1920,34.2195761,1920,1.44022672
1930,-88.2262167,1930,-3.30470839,1930,34.6648232,1930,1.46208288
1940,-89.1186158,1940,-3.37156866,1940,35.1137876,1940,1.48415017
1950,-90.0140692,1950,-3.43870797,1950,35.5664775,1950,1.50642934
1960,-90.9125573,1960,-3.5061255,1960,36.0229012,1960,1.52892116
1970,-91.81406,1970,-3.57382042,1970,36.4830669,1970,1.55162636
1980,-92.7185576,1980,-3.64179192,1980,36.9469825,1980,1.57454569
1990,-93.6260303,1990,-3.71003915,1990,37.4146559,1990,1.5976799
