Wavelength,Simulated Rp,Wavelengt,Measured Rp,Wavelength,Measured Rs,Wavelength,Simulated Rs,,,,,,,,,,,
nm,,,,nm,,nm,,,,,,,,,,,,
,50 deg,,50 deg,,50 deg,,50 deg,,,,,,,,,,,
680,0.434584,680,0.452816,680,0.642836,680,0.624065,--,--,,,,,,,,,
690,0.453168,690,0.476494,690,0.675999,690,0.656232,--,--,,,,,,,,,
700,0.469428,700,0.494765,700,0.699263,700,0.681126,--,--,,,,,,,,,
710,0.483263,710,0.508727,710,0.71979,710,0.700024,--,--,,,,,,,,,
720,0.49467,720,0.522046,720,0.736335,720,0.713947,--,--,,,,,,,,,
730,0.503708,730,0.529396,730,0.742077,730,0.723683,--,--,,,,,,,,,
740,0.510482,740,0.541423,740,0.752434,740,0.729832,--,--,,,,,,,,,
750,0.51512,750,0.544899,750,0.757203,750,0.732843,--,--,,,,,,,,,
760,0.517764,760,0.551005,760,0.757118,760,0.733043,--,--,,,,,,,,,
770,0.518563,770,0.553225,770,0.751926,770,0.730665,--,--,,,,,,,,,
780,0.517672,780,0.553494,780,0.749374,780,0.725869,--,--,,,,,,,,,
790,0.515244,790,0.555997,790,0.74645,790,0.718758,--,--,,,,,,,,,
800,0.511433,800,0.551364,800,0.740082,800,0.709388,--,--,,,,,,,,,
810,0.506396,810,0.547214,810,0.726413,810,0.697785,--,--,,,,,,,,,
820,0.500286,820,0.541924,820,0.720027,820,0.683949,--,--,,,,,,,,,
830,0.493259,830,0.531614,830,0.700246,830,0.667867,--,--,,,,,,,,,
840,0.485471,840,0.520538,840,0.679345,840,0.649525,--,--,,,,,,,,,
850,0.477077,850,0.515044,850,0.661398,850,0.628915,--,--,,,,,,,,,
860,0.468228,860,0.504493,860,0.636657,860,0.606048,--,--,,,,,,,,,
870,0.459075,870,0.492217,870,0.606878,870,0.580974,--,--,,,,,,,,,
880,0.449761,880,0.481938,880,0.574005,880,0.553789,--,--,,,,,,,,,
890,0.440424,890,0.473761,890,0.554261,890,0.524658,--,--,,,,,,,,,
900,0.431189,900,0.462837,900,0.519644,900,0.493827,--,--,,,,,,,,,
910,0.42217,910,0.451185,910,0.485833,910,0.461642,--,--,,,,,,,,,
920,0.413465,920,0.446587,920,0.45296,920,0.428555,--,--,,,,,,,,,
930,0.405155,930,0.429692,930,0.410513,930,0.395129,--,--,,,,,,,,,
940,0.3973,940,0.419213,940,0.372051,940,0.362032,--,--,,,,,,,,,
950,0.38994,950,0.40575,950,0.335578,950,0.330014,--,--,,,,,,,,,
960,0.383093,960,0.40191,960,0.307612,960,0.299877,--,--,,,,,,,,,
970,0.376755,970,0.388605,970,0.273204,970,0.272427,--,--,,,,,,,,,
980,0.370898,980,0.379841,980,0.248539,980,0.24842,--,--,,,,,,,,,
990,0.365475,990,0.366286,990,0.224337,990,0.228504,--,--,,,,,,,,,
1000,0.360417,1000,0.365138,1000,0.212432,1000,0.213174,--,--,,,,,,,,,
1010,0.355635,1010,0.35706,1010,0.200777,1010,0.202728,--,--,,,,,,,,,
1020,0.351023,1020,0.351395,1020,0.195993,1020,0.197258,--,--,,,,,,,,,
1030,0.346459,1030,0.343112,1030,0.193933,1030,0.196648,--,--,,,,,,,,,
1040,0.341804,1040,0.332926,1040,0.196759,1040,0.200604,--,--,,,,,,,,,
1050,0.336909,1050,0.327089,1050,0.203614,1050,0.208685,--,--,,,,,,,,,
1060,0.331611,1060,0.318575,1060,0.21241,1060,0.220357,--,--,,,,,,,,,
1070,0.325738,1070,0.308408,1070,0.224151,1070,0.235032,--,--,,,,,,,,,
1080,0.319111,1080,0.298079,1080,0.239554,1080,0.252111,--,--,,,,,,,,,
1090,0.311547,1090,0.288865,1090,0.25451,1090,0.27102,--,--,,,,,,,,,
1100,0.302866,1100,0.27686,1100,0.270597,1100,0.29123,--,--,,,,,,,,,
1110,0.292894,1110,0.265538,1110,0.290814,1110,0.312275,--,--,,,,,,,,,
1120,0.281473,1120,0.252576,1120,0.306634,1120,0.333754,--,--,,,,,,,,,
1130,0.268476,1130,0.239298,1130,0.327086,1130,0.355337,--,--,,,,,,,,,
1140,0.25382,1140,0.223141,1140,0.344606,1140,0.376755,--,--,,,,,,,,,
1150,0.237487,1150,0.206636,1150,0.363907,1150,0.397801,--,--,,,,,,,,,
1160,0.21955,1160,0.18989,1160,0.380263,1160,0.418316,--,--,,,,,,,,,
1170,0.200198,1170,0.172627,1170,0.398227,1170,0.438187,--,--,,,,,,,,,
1180,0.17976,1180,0.155724,1180,0.415714,1180,0.457335,--,--,,,,,,,,,
1190,0.158725,1190,0.138961,1190,0.429888,1190,0.47571,--,--,,,,,,,,,
1200,0.137744,1200,0.122193,1200,0.442599,1200,0.493287,--,--,,,,,,,,,
1210,0.117614,1210,0.108014,1210,0.463395,1210,0.510055,--,--,,,,,,,,,
1220,0.0992355,1220,0.0957314,1220,0.479335,1220,0.52602,--,--,,,,,,,,,
1230,0.0835367,1230,0.0848608,1230,0.489666,1230,0.541198,--,--,,,,,,,,,
1240,0.0713816,1240,0.078362,1240,0.502454,1240,0.55561,--,--,,,,,,,,,
1250,0.0634711,1250,0.0750035,1250,0.521719,1250,0.569284,--,--,,,,,,,,,
1260,0.0602594,1260,0.0756748,1260,0.539025,1260,0.58225,--,--,,,,,,,,,
1270,0.0619038,1270,0.0786638,1270,0.54642,1270,0.594541,--,--,,,,,,,,,
1280,0.0682607,1280,0.0856193,1280,0.559048,1280,0.606191,--,--,,,,,,,,,
1290,0.0789237,1290,0.0956929,1290,0.571637,1290,0.617233,--,--,,,,,,,,,
1300,0.093294,1300,0.109636,1300,0.585831,1300,0.627701,--,--,,,,,,,,,
1310,0.110663,1310,0.125574,1310,0.599496,1310,0.637626,--,--,,,,,,,,,
1320,0.130292,1320,0.142441,1320,0.611984,1320,0.647041,--,--,,,,,,,,,
1330,0.151474,1330,0.160726,1330,0.617262,1330,0.655974,--,--,,,,,,,,,
1340,0.173581,1340,0.179653,1340,0.626886,1340,0.664455,--,--,,,,,,,,,
1350,0.196079,1350,0.199674,1350,0.639944,1350,0.672511,--,--,,,,,,,,,
1360,0.218542,1360,0.221206,1360,0.648377,1360,0.680166,--,--,,,,,,,,,
1370,0.240643,1370,0.240173,1370,0.657491,1370,0.687446,--,--,,,,,,,,,
1380,0.262143,1380,0.257418,1380,0.66476,1380,0.694373,--,--,,,,,,,,,
1390,0.282879,1390,0.276239,1390,0.670092,1390,0.700967,--,--,,,,,,,,,
1400,0.302745,1400,0.296289,1400,0.678507,1400,0.70725,--,--,,,,,,,,,
1410,0.321685,1410,0.317731,1410,0.702341,1410,0.713238,--,--,,,,,,,,,
1420,0.339677,1420,0.338324,1420,0.706978,1420,0.718951,--,--,,,,,,,,,
1430,0.356721,1430,0.352699,1430,0.708225,1430,0.724404,--,--,,,,,,,,,
1440,0.37284,1440,0.360781,1440,0.708858,1440,0.729611,--,--,,,,,,,,,
1450,0.388067,1450,0.375465,1450,0.713245,1450,0.734588,--,--,,,,,,,,,
1460,0.40244,1460,0.386241,1460,0.715829,1460,0.739348,--,--,,,,,,,,,
1470,0.416006,1470,0.406324,1470,0.725354,1470,0.743903,--,--,,,,,,,,,
1480,0.42881,1480,0.412646,1480,0.726104,1480,0.748264,--,--,,,,,,,,,
1490,0.4409,1490,0.419843,1490,0.729541,1490,0.752442,--,--,,,,,,,,,
1500,0.45232,1500,0.436654,1500,0.739247,1500,0.756447,--,--,,,,,,,,,
1510,0.463117,1510,0.447112,1510,0.743542,1510,0.76029,--,--,,,,,,,,,
1520,0.47333,1520,0.455567,1520,0.745742,1520,0.763978,--,--,,,,,,,,,
1530,0.483001,1530,0.465406,1530,0.746499,1530,0.767519,--,--,,,,,,,,,
1540,0.492166,1540,0.477077,1540,0.758963,1540,0.770922,--,--,,,,,,,,,
1550,0.500861,1550,0.480677,1550,0.755747,1550,0.774194,--,--,,,,,,,,,
1560,0.509117,1560,0.485253,1560,0.757919,1560,0.777342,--,--,,,,,,,,,
1570,0.516964,1570,0.495889,1570,0.763866,1570,0.780371,--,--,,,,,,,,,
1580,0.52443,1580,0.504715,1580,0.770057,1580,0.783288,--,--,,,,,,,,,
1590,0.531541,1590,0.512068,1590,0.767177,1590,0.786098,--,--,,,,,,,,,
1600,0.53832,1600,0.518514,1600,0.77472,1600,0.788807,--,--,,,,,,,,,
1610,0.544789,1610,0.523149,1610,0.778435,1610,0.79142,--,--,,,,,,,,,
1620,0.550967,1620,0.527472,1620,0.777684,1620,0.793941,--,--,,,,,,,,,
1630,0.556874,1630,0.535987,1630,0.783535,1630,0.796374,--,--,,,,,,,,,
1640,0.562525,1640,0.543451,1640,0.789691,1640,0.798724,--,--,,,,,,,,,
1650,0.567938,1650,0.549626,1650,0.793279,1650,0.800995,--,--,,,,,,,,,
1660,0.573126,1660,0.552389,1660,0.795833,1660,0.80319,--,--,,,,,,,,,
1670,0.578104,1670,0.559849,1670,0.801007,1670,0.805313,--,--,,,,,,,,,
1680,0.582882,1680,0.561831,1680,0.799718,1680,0.807366,--,--,,,,,,,,,
1690,0.587473,1690,0.5642,1690,0.797251,1690,0.809354,--,--,,,,,,,,,
1700,0.591888,1700,0.574699,1700,0.806099,1700,0.811278,--,--,,,,,,,,,
1710,0.596136,1710,0.581026,1710,0.81299,1710,0.813143,--,--,,,,,,,,,
1720,0.600227,1720,0.581815,1720,0.809155,1720,0.814949,--,--,,,,,,,,,
1730,0.604169,1730,0.582071,1730,0.803584,1730,0.8167,--,--,,,,,,,,,
1740,0.607969,1740,0.592759,1740,0.812597,1740,0.818398,--,--,,,,,,,,,
1750,0.611636,1750,0.596707,1750,0.817367,1750,0.820046,--,--,,,,,,,,,
1760,0.615177,1760,0.600248,1760,0.8202,1760,0.821644,--,--,,,,,,,,,
1770,0.618597,1770,0.603393,1770,0.82115,1770,0.823196,--,--,,,,,,,,,
1780,0.621902,1780,0.609629,1780,0.820163,1780,0.824703,--,,,,,,,,,,
1790,0.625099,1790,0.610355,1790,0.820802,1790,0.826168,--,,,,,,,,,,
1800,0.628192,1800,0.613437,1800,0.822157,1800,0.82759,--,,,,,,,,,,
1810,0.631187,1810,0.618086,1810,0.823095,1810,0.828973,--,,,,,,,,,,
1820,0.634088,1820,0.619352,1820,0.823069,1820,0.830318,--,,,,,,,,,,
1830,0.636899,1830,0.625203,1830,0.824683,1830,0.831626,--,,,,,,,,,,
1840,0.639625,1840,0.63143,1840,0.829811,1840,0.832899,--,,,,,,,,,,
1850,0.642268,1850,0.62878,1850,0.827339,1850,0.834138,--,,,,,,,,,,
1860,0.644834,1860,0.629906,1860,0.827414,1860,0.835344,--,,,,,,,,,,
1870,0.647325,1870,0.637517,1870,0.832542,1870,0.836518,--,,,,,,,,,,
1880,0.649745,1880,0.638083,1880,0.831618,1880,0.837662,--,,,,,,,,,,
1890,0.652095,1890,0.638839,1890,0.826707,1890,0.838777,--,,,,,,,,,,
1900,0.654381,1900,0.648711,1900,0.835795,1900,0.839863,--,,,,,,,,,,
1910,0.656603,1910,0.653257,1910,0.841677,1910,0.840923,--,,,,,,,,,,
1920,0.658765,1920,0.652634,1920,0.841155,1920,0.841955,--,,,,,,,,,,
1930,0.660868,1930,0.654288,1930,0.840284,1930,0.842963,--,,,,,,,,,,
1940,0.662916,1940,0.658566,1940,0.841231,1940,0.843946,--,,,,,,,,,,
1950,0.66491,1950,0.656597,1950,0.833353,1950,0.844905,--,,,,,,,,,,
1960,0.666853,1960,0.647595,1960,0.818636,1960,0.845841,--,,,,,,,,,,
1970,0.668746,1970,0.654971,1970,0.82659,1970,0.846755,--,,,,,,,,,,
1980,0.670592,1980,0.648411,1980,0.823468,1980,0.847648,--,,,,,,,,,,
1990,0.672391,1990,0.644178,1990,0.832657,1990,0.84852,--,,,,,,,,,,
2000,0.674147,2000,0.661244,2000,0.844539,2000,0.849372,--,,,,,,,,,,
