Spectroscopic Data at 21.686 min.	
Wavelength (nm)	s-Intensity
1984	0.566666
1990	0.565055
1996	0.565699
2002	0.561974
2008	0.558755
2014	0.555865
2020	0.553498
2026	0.551763
2032	0.551302
2038	0.552466
2044	0.553955
2050	0.556404
2056	0.558071
2062	0.558811
2068	0.559497
2074	0.559802
2080	0.559118
2086	0.558578
2092	0.559776
2098	0.562454
2104	0.565224
2110	0.570714
2116	0.574454
2122	0.577738
2128	0.579981
2134	0.580136
2140	0.579196
2146	0.577709
2152	0.575805
2158	0.574247
2164	0.573833
2170	0.574319
2176	0.576271
2182	0.578541
2188	0.579763
2194	0.580041
2200	0.578628
2206	0.576805
2212	0.572695
2218	0.569989
2224	0.566778
2230	0.564248
2236	0.562625
2242	0.560661
2248	0.560268
2254	0.562194
2260	0.564402
2266	0.566253
2272	0.566873
2278	0.569876
2284	0.569992
2290	0.568814
2296	0.569502
2302	0.567578
2308	0.566944
2314	0.567756
2320	0.567371
2326	0.571571
2332	0.57438
2338	0.578211
2344	0.5819
2350	0.585765
2356	0.586761
2362	0.591537
2368	0.592264
2374	0.592364
2380	0.588794
2386	0.585933
2392	0.584799
2398	0.582036
2404	0.580882
2410	0.581762
2416	0.581597
2422	0.581969
2428	0.585331
2434	0.587533
2440	0.587559
2446	0.588681
2452	0.583972
2458	0.581281
2464	0.576492
2470	0.57176
2476	0.566774
2482	0.563167
2488	0.562578
2494	0.559417
2500	0.557558
