Spectroscopic Data at 9.162 min.	
Wavelength (nm)	s-Intensity
2218	0.621949
2224	0.620873
2230	0.620742
2236	0.620903
2242	0.620598
2248	0.620198
2254	0.620771
2260	0.621405
2266	0.620981
2272	0.619556
2278	0.61718
2284	0.617859
2290	0.618949
2296	0.620944
2302	0.619071
2308	0.618648
2314	0.619778
2320	0.622562
2326	0.622708
2332	0.624558
2338	0.628008
2344	0.629194
2350	0.629708
2356	0.630071
2362	0.630746
2368	0.629284
2374	0.629742
2380	0.6288
2386	0.628805
2392	0.630234
2398	0.6299
2404	0.633569
2410	0.633155
2416	0.633088
2422	0.634247
2428	0.636281
2434	0.636969
2440	0.636453
2446	0.636399
2452	0.63088
2458	0.63256
2464	0.629433
2470	0.629769
2476	0.626971
2482	0.627515
2488	0.62849
2494	0.625732
2500	0.625849
