Spectroscopic Data at 7.448 min.		
Wavelength (nm)	s-Intensity	
799	0.539045	
800	0.539588	
801	0.539282	
802	0.539455	
803	0.539409	
804	0.540002	
805	0.539454	
806	0.539908	
807	0.541324	
808	0.542215	
809	0.54311	
810	0.543351	
811	0.544019	
812	0.543998	
813	0.544835	
814	0.544579	
815	0.545057	
816	0.54582	
817	0.546029	
818	0.546058	
819	0.546537	
820	0.546934	
821	0.546729	
822	0.546457	
823	0.546869	
824	0.548484	
825	0.549482	
826	0.54977	
827	0.549238	
828	0.549562	
829	0.550916	
830	0.552558	
831	0.553015	
832	0.55263	
833	0.552012	
834	0.551913	
835	0.552454	
836	0.553115	
837	0.553487	
838	0.553918	
839	0.554435	
840	0.554434	
841	0.555105	
842	0.556556	
843	0.55754	
844	0.558504	
845	0.558787	
846	0.558457	
847	0.55864	
848	0.5592	
849	0.559705	
850	0.559704	
851	0.560686	
852	0.561125	
853	0.561691	
854	0.562664	
855	0.562144	
856	0.56324	
857	0.563042	
858	0.563308	
859	0.562762	
860	0.563325	
861	0.563383	
862	0.56425	
863	0.564512	
864	0.564457	
865	0.565556	
866	0.565872	
867	0.566232	
868	0.565827	
869	0.565694	
870	0.565825	
871	0.565935	
872	0.566344	
873	0.567266	
874	0.567074	
875	0.567467	
876	0.568938	
877	0.569281	
878	0.569251	
879	0.569167	
880	0.568682	
881	0.569052	
882	0.569442	
883	0.569992	
884	0.570854	
885	0.571808	
886	0.572834	
887	0.573721	
888	0.57453	
889	0.575039	
890	0.574785	
891	0.574786	
892	0.57497	
893	0.574783	
894	0.573968	
895	0.573732	
896	0.574693	
897	0.57611	
898	0.576579	
899	0.576913	
900	0.576667	
901	0.576865	
902	0.577035	
903	0.5768	
904	0.576943	
905	0.578086	
906	0.579347	
907	0.580082	
908	0.579946	
909	0.580108	
910	0.58031	
911	0.579991	
912	0.579839	
913	0.57972	
914	0.579911	
915	0.580236	
916	0.580952	
917	0.58188	
918	0.582859	
919	0.583495	
920	0.584249	
921	0.584176	
922	0.584444	
923	0.584252	
924	0.584524	
925	0.585006	
926	0.585445	
927	0.585895	
928	0.586478	
929	0.586962	
930	0.586693	
931	0.587197	
932	0.587655	
933	0.587787	
934	0.587669	
935	0.587508	
936	0.586944	
937	0.587186	
938	0.587509	
939	0.587765	
940	0.588652	
941	0.589142	
942	0.589404	
943	0.590038	
944	0.590828	
945	0.591566	
946	0.591686	
947	0.590901	
948	0.590584	
949	0.590872	
950	0.59131	
951	0.591349	
952	0.592192	
953	0.592322	
954	0.592181	
955	0.592728	
956	0.59348	
957	0.594012	
958	0.594904	
959	0.594925	
960	0.595226	
961	0.595191	
962	0.595298	
963	0.59568	
964	0.59578	
965	0.594945	
966	0.595465	
967	0.595348	
968	0.595809	
969	0.595556	
970	0.596102	
971	0.597105	
972	0.596761	
973	0.597399	
974	0.597768	
975	0.59765	
976	0.597932	
977	0.598144	
978	0.597791	
979	0.59763	
980	0.598316	
981	0.599362	
982	0.599916	
983	0.60088	
984	0.601721	
985	0.602276	
986	0.602043	
987	0.601829	
988	0.601354	
989	0.601637	
990	0.601838	
991	0.601674	
992	0.601478	
993	0.601596	
994	0.60244	
995	0.603385	
996	0.604101	
997	0.604516	
998	0.604918	
999	0.604678	
1000	0.60412	
1006	0.597909	
1012	0.597664	
1018	0.599129	
1024	0.599908	
1030	0.601095	
1036	0.60294	
1042	0.604635	
1048	0.606067	
1054	0.607209	
1060	0.607468	
1066	0.606964	
1072	0.605593	
1078	0.606951	
1084	0.609844	
1090	0.613075	
1096	0.613771	
1102	0.6133	
1108	0.614674	
1114	0.615466	
1120	0.616449	
1126	0.615883	
1132	0.616451	
1138	0.617775	
1144	0.619305	
1150	0.620378	
1156	0.622035	
1162	0.621794	
1168	0.62188	
1174	0.622989	
1180	0.623673	
1186	0.624756	
1192	0.624475	
1198	0.625151	
1204	0.625394	
1210	0.627338	
1216	0.62831	
1222	0.629452	
1228	0.630218	
1234	0.631269	
1240	0.630438	
1246	0.629499	
1252	0.628386	
1258	0.629067	
1264	0.630595	
1270	0.630837	
1276	0.633195	
1282	0.633956	
1288	0.635216	
1294	0.635776	
1300	0.635878	
1306	0.635928	
1312	0.636634	
1318	0.637082	
1324	0.635403	
1330	0.635615	
1336	0.634971	
1342	0.636314	
1348	0.635701	
1354	0.634654	
1360	0.636089	
1366	0.637467	
1372	0.639334	
1378	0.641035	
1384	0.640642	
1390	0.640642	
1396	0.640073	
1402	0.641133	
1408	0.639779	
1414	0.638976	
1420	0.639628	
1426	0.639662	
1432	0.641093	
1438	0.642816	
1444	0.641639	
1450	0.641178	
1456	0.640424	
1462	0.639225	
1468	0.640397	
1474	0.643691	
1480	0.643616	
1486	0.644125	
1492	0.644559	
1498	0.644405	
1504	0.644964	
1510	0.6455	
1516	0.645238	
1522	0.644393	
1528	0.643178	
1534	0.642794	
1540	0.643894	
1546	0.645225	
1552	0.645692	
1558	0.645804	
1564	0.645485	
1570	0.645091	
1576	0.645379	
1582	0.646465	
1588	0.647221	
1594	0.646504	
1600	0.645632	
1606	0.644818	
1612	0.645657	
1618	0.645852	
1624	0.64772	
1630	0.649535	
1636	0.649237	
1642	0.649822	
1648	0.646761	
1654	0.647864	
1660	0.647337	
1666	0.647376	
1672	0.648515	
1678	0.649392	
1684	0.648903	
1690	0.647637	
1696	0.647264	
1702	0.647192	
1708	0.646541	
1714	0.648078	
1720	0.649067	
1726	0.649429	
1732	0.64948	
1738	0.648476	
1744	0.648579	
1750	0.648348	
1756	0.649604	
1762	0.651178	
1768	0.652568	
1774	0.653501	
1780	0.653394	
1786	0.65194	
1792	0.65093	
1798	0.650151	
1804	0.652033	
1810	0.651716	
1816	0.653438	
1822	0.654254	
1828	0.652579	
1834	0.652134	
1840	0.649931	
1846	0.649085	
1852	0.647322	
1858	0.6475	
1864	0.649072	
1870	0.650733	
1876	0.651852	
1882	0.652656	
1888	0.65295	
1894	0.653149	
1900	0.650936	
1906	0.651529	
1912	0.65149	
1918	0.652316	
1924	0.654579	
1930	0.656624	
1936	0.658521	
1942	0.659732	
1948	0.659381	
1954	0.657249	
1960	0.656016	
1966	0.65457	
1972	0.653275	
1978	0.653536	
1984	0.65526	
1990	0.655681	
1996	0.657826	
2002	0.65726	
2008	0.65575	
2014	0.654559	
2020	0.652986	
2026	0.651562	
2032	0.651019	
2038	0.651028	
2044	0.651247	
2050	0.653795	
2056	0.655137	
2062	0.65643	
2068	0.657785	
2074	0.658194	
2080	0.657118	
2086	0.65556	
2092	0.654633	
2098	0.654422	
2104	0.654919	
2110	0.655887	
2116	0.65765	
2122	0.660739	
2128	0.664406	
2134	0.666047	
2140	0.666264	
2146	0.664409	
2152	0.662955	
2158	0.661538	
2164	0.65923	
2170	0.659122	
2176	0.658371	
2182	0.659208	
2188	0.659359	
2194	0.660449	
2200	0.662179	
2206	0.663785	
2212	0.664366	
2218	0.662497	
2224	0.6613	
2230	0.660286	
2236	0.65872	
2242	0.656691	
2248	0.654446	
2254	0.653659	
2260	0.654668	
2266	0.655545	
2272	0.657667	
2278	0.659767	
2284	0.664058	
2290	0.664413	
2296	0.665776	
2302	0.664008	
2308	0.664294	
2314	0.662156	
2320	0.660609	
2326	0.661772	
2332	0.660094	
2338	0.66094	
2344	0.663369	
2350	0.664571	
2356	0.665808	
2362	0.671876	
2368	0.674062	
2374	0.675027	
2380	0.675107	
2386	0.674561	
2392	0.673067	
2398	0.671584	
2404	0.666358	
2410	0.666006	
2416	0.665216	
2422	0.665377	
2428	0.666768	
2434	0.670499	
2440	0.67088	
2446	0.672625	
2452	0.672949	
2458	0.675804	
2464	0.675256	
2470	0.675763	
2476	0.671939	
2482	0.669427	
2488	0.665759	
2494	0.666113	
2500	0.663802	
