Spectroscopic Data at 4.061 min.	
Wavelength (nm)	Intensity
1570	0.601635
1576	0.602381
1582	0.604463
1588	0.606604
1594	0.607397
1600	0.6097
1606	0.6103
1612	0.611208
1618	0.609659
1624	0.61102
1630	0.613505
1636	0.613872
1642	0.616528
1648	0.615637
1654	0.618067
1660	0.61966
1666	0.618188
1672	0.617975
1678	0.617934
1684	0.61648
1690	0.615167
1696	0.615264
1702	0.61669
1708	0.616474
1714	0.618357
1720	0.619392
1726	0.619148
1732	0.618557
1738	0.617988
1744	0.618914
1750	0.619353
1756	0.622432
1762	0.622917
1768	0.623862
1774	0.626082
1780	0.62744
1786	0.626755
1792	0.628907
1798	0.629685
1804	0.632092
1810	0.631128
1816	0.632792
1822	0.63386
1828	0.632608
1834	0.633993
1840	0.635121
1846	0.634237
1852	0.635184
1858	0.6351
1864	0.635812
1870	0.63668
1876	0.636234
1882	0.6349
1888	0.635233
1894	0.637553
1900	0.635975
1906	0.636624
1912	0.636278
1918	0.637089
1924	0.638845
1930	0.639357
1936	0.640244
1942	0.638956
1948	0.641882
1954	0.640191
1960	0.642039
1966	0.643747
1972	0.643803
1978	0.644106
1984	0.645122
1990	0.644251
1996	0.646692
2002	0.646153
2008	0.644996
2014	0.642572
2020	0.640288
2026	0.638412
2032	0.637763
2038	0.638887
2044	0.6393
2050	0.640057
2056	0.640731
2062	0.641396
2068	0.642102
2074	0.643907
2080	0.645057
2086	0.644513
2092	0.643567
2098	0.643928
2104	0.645314
2110	0.646704
2116	0.646017
2122	0.648512
2128	0.650896
2134	0.648869
2140	0.648121
2146	0.648504
2152	0.649983
2158	0.650779
2164	0.650037
2170	0.65149
2176	0.652413
2182	0.651594
2188	0.653831
2194	0.653948
2200	0.653502
2206	0.654731
2212	0.653079
2218	0.654529
2224	0.656444
2230	0.65584
2236	0.654493
2242	0.654158
2248	0.653643
2254	0.653554
2260	0.654684
2266	0.654087
2272	0.654002
2278	0.65457
2284	0.652678
2290	0.654648
2296	0.654573
2302	0.652392
2308	0.651078
2314	0.650132
2320	0.650171
2326	0.652012
2332	0.649357
2338	0.65247
2344	0.652983
2350	0.655988
2356	0.657238
2362	0.657707
2368	0.657501
2374	0.65829
2380	0.658147
2386	0.658281
2392	0.658736
2398	0.65828
2404	0.658143
2410	0.657122
2416	0.656956
2422	0.657831
2428	0.659658
2434	0.663192
2440	0.663412
2446	0.660011
2452	0.658404
2458	0.660792
2464	0.657933
2470	0.660994
2476	0.662037
2482	0.66157
2488	0.663002
2494	0.658813
2500	0.661283
