Spectroscopic Data at 9.344 min.		
Wavelength (nm)	s-Intensity	
777	0.394691	
778	0.395594	
779	0.395861	
780	0.39647	
781	0.397175	
782	0.39771	
783	0.398768	
784	0.399229	
785	0.4003	
786	0.401588	
787	0.402047	
788	0.402896	
789	0.404459	
790	0.405034	
791	0.406113	
792	0.407311	
793	0.407978	
794	0.408522	
795	0.409336	
796	0.409963	
797	0.410391	
798	0.411159	
799	0.411551	
800	0.412138	
801	0.412882	
802	0.412455	
803	0.412456	
804	0.413083	
805	0.413654	
806	0.414137	
807	0.414696	
808	0.415149	
809	0.416153	
810	0.416245	
811	0.416473	
812	0.417337	
813	0.418414	
814	0.418692	
815	0.419497	
816	0.420745	
817	0.421508	
818	0.422489	
819	0.422968	
820	0.423641	
821	0.424235	
822	0.424914	
823	0.42579	
824	0.427213	
825	0.428754	
826	0.429377	
827	0.429166	
828	0.42965	
829	0.430684	
830	0.431763	
831	0.431774	
832	0.43152	
833	0.43121	
834	0.432022	
835	0.433029	
836	0.433287	
837	0.433279	
838	0.433537	
839	0.434153	
840	0.434939	
841	0.435182	
842	0.435679	
843	0.436867	
844	0.438178	
845	0.43733	
846	0.437224	
847	0.438939	
848	0.440473	
849	0.440955	
850	0.44177	
851	0.441906	
852	0.443409	
853	0.444595	
854	0.445029	
855	0.445248	
856	0.445737	
857	0.44628	
858	0.447395	
859	0.447021	
860	0.447859	
861	0.448821	
862	0.449386	
863	0.450317	
864	0.450158	
865	0.450232	
866	0.450717	
867	0.451885	
868	0.452437	
869	0.452193	
870	0.45157	
871	0.451711	
872	0.453251	
873	0.453568	
874	0.4534	
875	0.45347	
876	0.454329	
877	0.455335	
878	0.455883	
879	0.455708	
880	0.456123	
881	0.457084	
882	0.457977	
883	0.458977	
884	0.459895	
885	0.460485	
886	0.460796	
887	0.461629	
888	0.462363	
889	0.462435	
890	0.46306	
891	0.463867	
892	0.464172	
893	0.464665	
894	0.464993	
895	0.465562	
896	0.466279	
897	0.467019	
898	0.467769	
899	0.46852	
900	0.468294	
901	0.468011	
902	0.468114	
903	0.468803	
904	0.46974	
905	0.470585	
906	0.47104	
907	0.470951	
908	0.471067	
909	0.471594	
910	0.472174	
911	0.472625	
912	0.472016	
913	0.472242	
914	0.473055	
915	0.474243	
916	0.475164	
917	0.475532	
918	0.475469	
919	0.475688	
920	0.476439	
921	0.477625	
922	0.478203	
923	0.478369	
924	0.478213	
925	0.478778	
926	0.479567	
927	0.480258	
928	0.480759	
929	0.480812	
930	0.481174	
931	0.480986	
932	0.481629	
933	0.482269	
934	0.483405	
935	0.484075	
936	0.483618	
937	0.484125	
938	0.484434	
939	0.48595	
940	0.486014	
941	0.486478	
942	0.486576	
943	0.486358	
944	0.487039	
945	0.487907	
946	0.48798	
947	0.48839	
948	0.488201	
949	0.488515	
950	0.48929	
951	0.490041	
952	0.490851	
953	0.491153	
954	0.491047	
955	0.491693	
956	0.492047	
957	0.49197	
958	0.492454	
959	0.492707	
960	0.492969	
961	0.493254	
962	0.494198	
963	0.493996	
964	0.494721	
965	0.495566	
966	0.496003	
967	0.496693	
968	0.49673	
969	0.497346	
970	0.497195	
971	0.497294	
972	0.497446	
973	0.497652	
974	0.497736	
975	0.498878	
976	0.498719	
977	0.499622	
978	0.500171	
979	0.500307	
980	0.501778	
981	0.502665	
982	0.503151	
983	0.503008	
984	0.503129	
985	0.503174	
986	0.503195	
987	0.504021	
988	0.504311	
989	0.504224	
990	0.504449	
991	0.504615	
992	0.505117	
993	0.506366	
994	0.506699	
995	0.507512	
996	0.507918	
997	0.50846	
998	0.508439	
999	0.508853	
1000	0.508782	
1006	0.496985	
1012	0.498592	
1018	0.500403	
1024	0.501553	
1030	0.503354	
1036	0.505717	
1042	0.508154	
1048	0.5106	
1054	0.512973	
1060	0.514307	
1066	0.514496	
1072	0.513888	
1078	0.51406	
1084	0.517656	
1090	0.520971	
1096	0.522959	
1102	0.523341	
1108	0.526142	
1114	0.528625	
1120	0.529941	
1126	0.52992	
1132	0.530946	
1138	0.532218	
1144	0.534996	
1150	0.536478	
1156	0.539608	
1162	0.541263	
1168	0.542843	
1174	0.544682	
1180	0.545653	
1186	0.546167	
1192	0.546662	
1198	0.547068	
1204	0.548136	
1210	0.550444	
1216	0.552188	
1222	0.5544	
1228	0.556086	
1234	0.557895	
1240	0.558836	
1246	0.559442	
1252	0.559113	
1258	0.560223	
1264	0.561236	
1270	0.562349	
1276	0.56421	
1282	0.56515	
1288	0.567057	
1294	0.568901	
1300	0.570331	
1306	0.571229	
1312	0.572318	
1318	0.573269	
1324	0.573197	
1330	0.573885	
1336	0.574081	
1342	0.575563	
1348	0.575527	
1354	0.575918	
1360	0.577672	
1366	0.579504	
1372	0.581995	
1378	0.583721	
1384	0.58459	
1390	0.585792	
1396	0.585782	
1402	0.587094	
1408	0.587554	
1414	0.587733	
1420	0.588705	
1426	0.589502	
1432	0.591121	
1438	0.592572	
1444	0.59223	
1450	0.593123	
1456	0.593366	
1462	0.594388	
1468	0.596055	
1474	0.598612	
1480	0.599019	
1486	0.600468	
1492	0.601141	
1498	0.601448	
1504	0.602152	
1510	0.602741	
1516	0.603001	
1522	0.603469	
1528	0.603991	
1534	0.60413	
1540	0.605549	
1546	0.60658	
1552	0.607901	
1558	0.608515	
1564	0.608882	
1570	0.609324	
1576	0.609938	
1582	0.610802	
1588	0.611754	
1594	0.611843	
1600	0.612776	
1606	0.613568	
1612	0.614852	
1618	0.614975	
1624	0.616226	
1630	0.617636	
1636	0.617736	
1642	0.618925	
1648	0.617868	
1654	0.619446	
1660	0.620255	
1666	0.62083	
1672	0.621903	
1678	0.622961	
1684	0.623187	
1690	0.622777	
1696	0.623178	
1702	0.623724	
1708	0.623971	
1714	0.624917	
1720	0.625828	
1726	0.626316	
1732	0.626567	
1738	0.626818	
1744	0.627428	
1750	0.628573	
1756	0.630134	
1762	0.631121	
1768	0.631926	
1774	0.632891	
1780	0.63345	
1786	0.633081	
1792	0.634075	
1798	0.634032	
1804	0.635448	
1810	0.635035	
1816	0.636374	
1822	0.63728	
1828	0.636242	
1834	0.636228	
1840	0.636429	
1846	0.636187	
1852	0.635793	
1858	0.636069	
1864	0.637415	
1870	0.638663	
1876	0.639073	
1882	0.639376	
1888	0.640186	
1894	0.641506	
1900	0.641046	
1906	0.641483	
1912	0.642227	
1918	0.643057	
1924	0.644377	
1930	0.646044	
1936	0.647146	
1942	0.64681	
1948	0.64803	
1954	0.647881	
1960	0.647819	
1966	0.648745	
1972	0.649116	
1978	0.649093	
1984	0.650455	
1990	0.651514	
1996	0.652103	
2002	0.650447	
2008	0.650569	
2014	0.650319	
2020	0.650209	
2026	0.649704	
2032	0.649746	
2038	0.651121	
2044	0.65046	
2050	0.651873	
2056	0.651864	
2062	0.652423	
2068	0.653068	
2074	0.653763	
2080	0.65359	
2086	0.653186	
2092	0.653783	
2098	0.655244	
2104	0.656253	
2110	0.656662	
2116	0.658049	
2122	0.660105	
2128	0.661287	
2134	0.6618	
2140	0.661523	
2146	0.662096	
2152	0.661912	
2158	0.661186	
2164	0.6616	
2170	0.661732	
2176	0.662915	
2182	0.662284	
2188	0.662685	
2194	0.663729	
2200	0.663392	
2206	0.664768	
2212	0.664765	
2218	0.663725	
2224	0.663144	
2230	0.662159	
2236	0.66233	
2242	0.663032	
2248	0.662413	
2254	0.662647	
2260	0.663735	
2266	0.663274	
2272	0.664102	
2278	0.663159	
2284	0.665211	
2290	0.665505	
2296	0.666631	
2302	0.66657	
2308	0.665682	
2314	0.664561	
2320	0.667685	
2326	0.666178	
2332	0.666957	
2338	0.669509	
2344	0.669416	
2350	0.672465	
2356	0.67153	
2362	0.673242	
2368	0.674204	
2374	0.674659	
2380	0.672212	
2386	0.6711	
2392	0.673432	
2398	0.673545	
2404	0.673964	
2410	0.672128	
2416	0.672448	
2422	0.675138	
2428	0.676939	
2434	0.677576	
2440	0.677157	
2446	0.677199	
2452	0.675636	
2458	0.675525	
2464	0.675503	
2470	0.676216	
2476	0.675169	
2482	0.674577	
2488	0.674973	
2494	0.675133	
2500	0.673803	
