Opt. Const. of TiN (Lorentz) vs. nm
Wavelength (nm)	e1	e2
580.000000	-0.916723	5.571236	
581.000000	-0.946524	5.584901	
582.000000	-0.976335	5.598645	
583.000000	-1.006154	5.612467	
584.000000	-1.035982	5.626369	
585.000000	-1.065819	5.640348	
586.000000	-1.095664	5.654405	
587.000000	-1.125518	5.668540	
588.000000	-1.155380	5.682751	
589.000000	-1.185251	5.697040	
590.000000	-1.215130	5.711406	
591.000000	-1.245018	5.725848	
592.000000	-1.274913	5.740366	
593.000000	-1.304817	5.754960	
594.000000	-1.334728	5.769629	
595.000000	-1.364648	5.784374	
596.000000	-1.394575	5.799194	
597.000000	-1.424511	5.814089	
598.000000	-1.454454	5.829059	
599.000000	-1.484404	5.844103	
600.000000	-1.514363	5.859221	
601.000000	-1.544329	5.874413	
602.000000	-1.574302	5.889679	
603.000000	-1.604283	5.905018	
604.000000	-1.634272	5.920430	
605.000000	-1.664268	5.935915	
606.000000	-1.694270	5.951473	
607.000000	-1.724280	5.967103	
608.000000	-1.754298	5.982805	
609.000000	-1.784322	5.998580	
610.000000	-1.814353	6.014426	
611.000000	-1.844392	6.030344	
612.000000	-1.874437	6.046333	
613.000000	-1.904489	6.062393	
614.000000	-1.934547	6.078525	
615.000000	-1.964613	6.094727	
616.000000	-1.994685	6.110999	
617.000000	-2.024763	6.127342	
618.000000	-2.054848	6.143754	
619.000000	-2.084940	6.160237	
620.000000	-2.115038	6.176789	
621.000000	-2.145142	6.193411	
622.000000	-2.175252	6.210102	
623.000000	-2.205369	6.226862	
624.000000	-2.235492	6.243691	
625.000000	-2.265621	6.260589	
626.000000	-2.295756	6.277555	
627.000000	-2.325897	6.294590	
628.000000	-2.356044	6.311692	
629.000000	-2.386196	6.328863	
630.000000	-2.416355	6.346101	
631.000000	-2.446519	6.363407	
632.000000	-2.476689	6.380780	
633.000000	-2.506864	6.398221	
634.000000	-2.537045	6.415728	
635.000000	-2.567231	6.433302	
636.000000	-2.597423	6.450943	
637.000000	-2.627620	6.468651	
638.000000	-2.657823	6.486424	
639.000000	-2.688031	6.504264	
640.000000	-2.718244	6.522171	
641.000000	-2.748462	6.540142	
642.000000	-2.778685	6.558180	
643.000000	-2.808913	6.576283	
644.000000	-2.839147	6.594451	
645.000000	-2.869385	6.612684	
646.000000	-2.899627	6.630983	
647.000000	-2.929875	6.649346	
648.000000	-2.960128	6.667774	
649.000000	-2.990385	6.686266	
650.000000	-3.020646	6.704823	
651.000000	-3.050913	6.723444	
652.000000	-3.081183	6.742129	
653.000000	-3.111459	6.760879	
654.000000	-3.141738	6.779691	
655.000000	-3.172022	6.798568	
656.000000	-3.202310	6.817508	
657.000000	-3.232602	6.836511	
658.000000	-3.262899	6.855577	
659.000000	-3.293199	6.874707	
660.000000	-3.323504	6.893899	
661.000000	-3.353812	6.913154	
662.000000	-3.384125	6.932471	
663.000000	-3.414441	6.951851	
664.000000	-3.444761	6.971294	
665.000000	-3.475085	6.990798	
666.000000	-3.505412	7.010365	
667.000000	-3.535743	7.029994	
668.000000	-3.566078	7.049684	
669.000000	-3.596416	7.069435	
670.000000	-3.626758	7.089249	
671.000000	-3.657103	7.109123	
672.000000	-3.687451	7.129059	
673.000000	-3.717803	7.149056	
674.000000	-3.748158	7.169114	
675.000000	-3.778516	7.189233	
676.000000	-3.808877	7.209413	
677.000000	-3.839241	7.229652	
678.000000	-3.869608	7.249953	
679.000000	-3.899978	7.270314	
680.000000	-3.930351	7.290735	
681.000000	-3.960726	7.311216	
682.000000	-3.991105	7.331757	
683.000000	-4.021486	7.352358	
684.000000	-4.051870	7.373018	
685.000000	-4.082256	7.393739	
686.000000	-4.112645	7.414518	
687.000000	-4.143037	7.435357	
688.000000	-4.173430	7.456255	
689.000000	-4.203826	7.477212	
690.000000	-4.234225	7.498229	
691.000000	-4.264626	7.519304	
692.000000	-4.295029	7.540438	
693.000000	-4.325434	7.561630	
694.000000	-4.355841	7.582881	
695.000000	-4.386250	7.604190	
696.000000	-4.416661	7.625558	
697.000000	-4.447074	7.646984	
698.000000	-4.477489	7.668468	
699.000000	-4.507905	7.690010	
700.000000	-4.538323	7.711609	
701.000000	-4.568743	7.733267	
702.000000	-4.599164	7.754982	
703.000000	-4.629588	7.776754	
704.000000	-4.660012	7.798584	
705.000000	-4.690438	7.820472	
706.000000	-4.720866	7.842416	
707.000000	-4.751295	7.864418	
708.000000	-4.781724	7.886476	
709.000000	-4.812156	7.908591	
710.000000	-4.842588	7.930763	
711.000000	-4.873021	7.952992	
712.000000	-4.903456	7.975277	
713.000000	-4.933891	7.997619	
714.000000	-4.964328	8.020017	
715.000000	-4.994765	8.042471	
716.000000	-5.025203	8.064981	
717.000000	-5.055642	8.087548	
718.000000	-5.086081	8.110170	
719.000000	-5.116521	8.132849	
720.000000	-5.146962	8.155582	
721.000000	-5.177403	8.178372	
722.000000	-5.207845	8.201217	
723.000000	-5.238287	8.224117	
724.000000	-5.268729	8.247073	
725.000000	-5.299172	8.270084	
726.000000	-5.329615	8.293151	
727.000000	-5.360058	8.316272	
728.000000	-5.390501	8.339448	
729.000000	-5.420945	8.362679	
730.000000	-5.451388	8.385964	
731.000000	-5.481832	8.409305	
732.000000	-5.512275	8.432700	
733.000000	-5.542718	8.456149	
734.000000	-5.573161	8.479653	
735.000000	-5.603603	8.503211	
736.000000	-5.634046	8.526823	
737.000000	-5.664488	8.550489	
738.000000	-5.694929	8.574210	
739.000000	-5.725370	8.597984	
740.000000	-5.755811	8.621812	
741.000000	-5.786251	8.645694	
742.000000	-5.816689	8.669629	
743.000000	-5.847128	8.693618	
744.000000	-5.877565	8.717660	
745.000000	-5.908002	8.741755	
746.000000	-5.938438	8.765904	
747.000000	-5.968874	8.790107	
748.000000	-5.999308	8.814362	
749.000000	-6.029740	8.838670	
750.000000	-6.060172	8.863030	
751.000000	-6.090603	8.887444	
752.000000	-6.121032	8.911911	
753.000000	-6.151461	8.936431	
754.000000	-6.181888	8.961002	
755.000000	-6.212313	8.985626	
756.000000	-6.242737	9.010303	
757.000000	-6.273160	9.035032	
758.000000	-6.303580	9.059813	
759.000000	-6.334000	9.084646	
760.000000	-6.364418	9.109531	
761.000000	-6.394834	9.134468	
762.000000	-6.425248	9.159457	
763.000000	-6.455660	9.184498	
