wvl ( nm)	e1	e2
1280,856769	0,67912	23,627779
1281,306768	0,683998	23,637243
1281,489504	0,685987	23,6411
1282,12419	0,692873	23,654432
1282,758178	0,699771	23,667767
1283,392794	0,706685	23,681108
1284,029367	0,713612	23,694452
1284,665241	0,720556	23,707806
1284,734454	0,721305	23,709246
1285,301745	0,727513	23,721163
1285,940214	0,734485	23,734522
1286,577983	0,74147	23,747887
1287,216384	0,748473	23,761263
1287,856757	0,755489	23,774637
1288,161793	0,758843	23,781025
1288,496429	0,762521	23,788023
1289,136736	0,769566	23,801409
1289,77768	0,776626	23,8148
1290,420604	0,7837	23,828197
1291,062826	0,790792	23,841602
1291,589979	0,796609	23,852581
1291,705687	0,797897	23,855011
1292,350535	0,805019	23,868425
1292,99468	0,812152	23,881842
1293,639467	0,819302	23,895266
1294,286248	0,826466	23,908693
1294,932324	0,833647	23,922127
1295,017525	0,8346	23,92391
1295,579045	0,84084	23,935564
1296,227768	0,84805	23,949009
1296,875784	0,855275	23,962458
1297,524449	0,862516	23,975912
1298,175122	0,869768	23,989367
1298,446995	0,872813	23,995008
1298,825087	0,877038	24,002831
1299,475703	0,884321	24,016296
1300,126972	0,891621	24,02977
1300,780258	0,898936	24,043245
1301,432836	0,906265	24,056728
1301,875541	0,911245	24,065874
1302,086068	0,913609	24,070213
1302,741325	0,920968	24,083704
1303,395872	0,928342	24,097198
1304,051077	0,935733	24,110701
1304,708314	0,943137	24,124205
1305,305752	0,949891	24,136503
1305,364839	0,950557	24,137716
1306,022025	0,957992	24,15123
1306,681251	0,965441	24,164747
1307,339764	0,972906	24,178268
1307,998941	0,980386	24,191797
1308,658783	0,987881	24,205328
1308,73613	0,98875	24,206894
1309,320674	0,995393	24,218866
1309,98185	1,002918	24,232405
1310,643695	1,01046	24,245953
1311,307596	1,018013	24,259497
1311,970781	1,025586	24,273054
1312,166535	1,027818	24,277046
1312,634638	1,033171	24,28661
1313,300557	1,040774	24,300175
1313,965761	1,04839	24,31374
1314,631638	1,056023	24,327312
1315,299586	1,06367	24,340887
