wavelength_nm,frequency_thz,theta_air_raw_deg,theta_prism_deg,r0_reflectance_fraction,power_norm_std,prepump_rows,delay_min_ps,delay_max_ps
1170.0,256.2328700854701,37.0,39.67632225857683,0.013342110524412304,0.0010182794411307701,11.0,-0.6,-0.4
1170.0,256.2328700854701,38.0,40.33979739859669,0.010470581844371562,0.0018279368292333032,11.0,-0.6,-0.4
1170.0,256.2328700854701,39.0,41.00406824975061,0.008391425340770314,0.0011680811434608698,11.0,-0.6,-0.4
1170.0,256.2328700854701,40.0,41.66901979554734,0.007303684284163874,0.0009884500529231271,11.0,-0.6,-0.4
1170.0,256.2328700854701,41.0,42.33453764016517,0.005149922402396686,0.0019700805871047,11.0,-0.6,-0.4
1170.0,256.2328700854701,42.0,43.000507904505824,0.004558773130439736,0.0012175641374803962,11.0,-0.6,-0.4
1170.0,256.2328700854701,43.0,43.66681712251742,0.011206058815143164,0.0009847602472891914,11.0,-0.6,-0.4
1170.0,256.2328700854701,44.0,44.33335213773696,0.04941332829946363,0.0014848988590935026,11.0,-0.6,-0.4
1170.0,256.2328700854701,45.0,45.0,0.0713237062830515,0.0019463398740569501,11.0,-0.6,-0.4
1170.0,256.2328700854701,46.0,45.66664786226304,0.08694004563330077,0.0015638926357701892,11.0,-0.6,-0.4
1170.0,256.2328700854701,47.0,46.33318287748258,0.10600086364469981,0.0017936718292569974,11.0,-0.6,-0.4
1170.0,256.2328700854701,48.0,46.999492095494176,0.12249384704888007,0.0011619092775642735,11.0,-0.6,-0.4
1170.0,256.2328700854701,49.0,47.66546235983483,0.13484798453942806,0.0026391377737694627,11.0,-0.6,-0.4
1170.0,256.2328700854701,50.0,48.33098020445266,0.1527321631423013,0.002166705555214638,11.0,-0.6,-0.4
1170.0,256.2328700854701,51.0,48.99593175024939,0.16698392001603835,0.0009748831642337722,11.0,-0.6,-0.4
1170.0,256.2328700854701,52.0,49.66020260140331,0.18314624955125647,0.0018980201721907574,11.0,-0.6,-0.4
1170.0,256.2328700854701,53.0,50.32367774142317,0.19526234088833022,0.002258180625405319,11.0,-0.6,-0.4
1170.0,256.2328700854701,54.0,50.98624142888759,0.20322919904320394,0.0022796073652395924,11.0,-0.6,-0.4
1170.0,256.2328700854701,55.0,51.64777709282861,0.2171555625842455,0.0014451499281652217,11.0,-0.6,-0.4
1170.0,256.2328700854701,56.0,52.30816722772388,0.22616330803235585,0.0013039499873515044,11.0,-0.6,-0.4
1170.0,256.2328700854701,57.0,52.96729328806785,0.24170477473193488,0.003394623109092154,11.0,-0.6,-0.4
1170.0,256.2328700854701,58.0,53.62503558250019,0.2451961838514098,0.0016574459064456187,11.0,-0.6,-0.4
1170.0,256.2328700854701,59.0,54.28127316747721,0.2509764825818385,0.0017563635113596807,11.0,-0.6,-0.4
1170.0,256.2328700854701,60.0,54.93588374048224,0.2509955143864936,0.0019937244627965247,11.0,-0.6,-0.4
1180.0,254.06140508474573,35.0,38.35222290717139,0.019568213133174393,0.0011474815535370004,11.0,-0.6,-0.4
1180.0,254.06140508474573,36.0,39.01375857111241,0.017690203936994553,0.0012498157324066482,11.0,-0.6,-0.4
1180.0,254.06140508474573,37.0,39.67632225857683,0.016669322758614245,0.0013484426142498828,11.0,-0.6,-0.4
1180.0,254.06140508474573,38.0,40.33979739859669,0.014558820091889975,0.001358800068289231,11.0,-0.6,-0.4
1180.0,254.06140508474573,39.0,41.00406824975061,0.012490028919139513,0.0015955287298702627,11.0,-0.6,-0.4
1180.0,254.06140508474573,40.0,41.66901979554734,0.01091423993573301,0.0007804493435270442,11.0,-0.6,-0.4
1180.0,254.06140508474573,41.0,42.33453764016517,0.007354594733227332,0.001221492072987588,11.0,-0.6,-0.4
1180.0,254.06140508474573,42.0,43.000507904505824,0.005632573619007552,0.0012404666273202129,11.0,-0.6,-0.4
1180.0,254.06140508474573,43.0,43.66681712251742,0.008175624744052323,0.0013942887047838494,11.0,-0.6,-0.4
1180.0,254.06140508474573,44.0,44.33335213773696,0.033975964476154676,0.0014163836136817226,11.0,-0.6,-0.4
